src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_displayonset,event05_administer_biopac,event05_administer_response,event05_administer_reseponseonset,event05_administer_RT,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,param_cog_stim_num,param_cog_stim_match,param_cog_stim_filename
1,1,2,3,1,high,0,2,1606245976.61144,1606245976.61362,1606245979.3799,1606245979.38923,2.61161708831787,1606245981.99756,1606245982.00535,high,h010.png,1606245983.03129,1606245983.00903,1606245986.57013,3.53883743286133,1606245987.11618,1606245987.12197,2.00782227516174,50,1606245989.15028,1606245989.15459,99,1606245995.65484,2.47559404373169,1606245995.66943,1606245995.65592,NaN,NaN,1606246652.81376,1606246652.82103,676.202311515808,14,different,14_50_R.jpg
1,1,2,3,1,low,0,1,1606245976.61144,1606245976.61362,1606245999.68763,1606245999.68943,1.30340170860291,1606246001.0048,1606246001.0068,low,l027.png,1606246002.02185,1606246002.00925,1606246004.32307,2.30120015144348,1606246006.0734,1606246006.07554,0.603979587554932,50,1606246006.6903,1606246006.69195,99,1606246013.19392,3.04134702682495,1606246013.20945,1606246013.19568,NaN,NaN,1606246652.81376,1606246652.82103,676.202311515808,21,same,21_50.jpg
1,1,2,3,1,high,0,6,1606245976.61144,1606245976.61362,1606246017.22765,1606246017.23871,2.01265096664429,1606246019.24508,1606246019.25508,high,h002.png,1606246020.27881,1606246020.25724,NaN,NaN,1606246024.29701,1606246024.30564,0.610467195510864,150,1606246024.93058,1606246024.93185,99,1606246031.43277,3.13570809364319,1606246031.44973,1606246031.43368,NaN,NaN,1606246652.81376,1606246652.82103,676.202311515808,28,same,28_150.jpg
1,1,2,3,1,low,0,3,1606245976.61144,1606245976.61362,1606246035.4846,1606246035.48845,2.30592274665833,1606246037.80215,1606246037.80516,low,l040.png,1606246038.81921,1606246038.80765,1606246040.87069,2.05147051811218,1606246042.87075,1606246042.87268,1.90386533737183,100,1606246044.78815,1606246044.7902,99,1606246051.2913,2.77377915382385,1606246051.30729,1606246051.29216,1606246054.79227,3.48496723175049,1606246652.81376,1606246652.82103,676.202311515808,27,different,27_100_R.jpg
1,1,2,3,1,low,0,3,1606245976.61144,1606245976.61362,1606246055.35884,1606246055.37349,1.01714968681335,1606246056.39257,1606246056.39533,low,l039.png,1606246057.40962,1606246057.39964,1606246059.51065,2.10102105140686,1606246061.46117,1606246061.46402,2.2053804397583,100,1606246063.67868,1606246063.69078,99,1606246070.18156,3.06843900680542,1606246070.19783,1606246070.18363,1606246072.57076,2.37292432785034,1606246652.81376,1606246652.82103,676.202311515808,40,same,40_100.jpg
1,1,2,3,1,low,0,5,1606245976.61144,1606245976.61362,1606246074.24937,1606246074.25573,2.00788998603821,1606246076.26681,1606246076.27268,low,l010.png,1606246077.28386,1606246077.27444,1606246079.07092,1.78704977035522,1606246081.3354,1606246081.33936,2.30584359169006,150,1606246083.65296,1606246083.65529,99,1606246090.15545,3.12304854393005,1606246090.17211,1606246090.15621,1606246092.54001,2.36789321899414,1606246652.81376,1606246652.82103,676.202311515808,14,same,14_150.jpg
1,1,2,3,1,low,0,3,1606245976.61144,1606245976.61362,1606246094.22365,1606246094.2256,1.30355548858643,1606246095.54082,1606246095.54194,low,l048.png,1606246096.55787,1606246096.54403,1606246097.7918,1.23392415046692,1606246100.60942,1606246100.61133,0.603715419769287,100,1606246101.22632,1606246101.23164,99,1606246107.72782,2.10341238975525,1606246107.74547,1606246107.72854,1606246110.07995,2.33446860313416,1606246652.81376,1606246652.82103,676.202311515808,5,different,5_100_R.jpg
1,1,2,3,1,high,0,4,1606245976.61144,1606245976.61362,1606246111.79701,1606246111.80626,1.51107263565063,1606246113.31426,1606246113.32207,high,h029.png,1606246114.33131,1606246114.32379,1606246116.23794,1.90661382675171,1606246118.38286,1606246118.38481,0.603424787521362,100,1606246118.99976,1606246119.00579,99,1606246125.50283,1.43176531791687,1606246125.51891,1606246125.50444,1606246128.65469,3.13576006889343,1606246652.81376,1606246652.82103,676.202311515808,19,different,19_100_R.jpg
1,1,2,3,1,high,0,2,1606245976.61144,1606245976.61362,1606246129.57045,1606246129.57289,1.60398578643799,1606246131.18774,1606246131.18887,high,h004.png,1606246132.20479,1606246132.19075,NaN,NaN,1606246136.22299,1606246136.2248,0.7032630443573,50,1606246136.93993,1606246136.94175,99,1606246143.44289,3.74824166297913,1606246143.45908,1606246143.44449,NaN,NaN,1606246652.81376,1606246652.82103,676.202311515808,16,same,16_50.jpg
1,1,2,3,1,high,0,2,1606245976.61144,1606245976.61362,1606246147.47728,1606246147.48964,1.41379547119141,1606246148.89449,1606246148.90585,high,h041.png,1606246149.92821,1606246149.90788,1606246152.04616,2.11793041229248,1606246153.97976,1606246153.98155,0.803295612335205,50,1606246154.79674,1606246154.8063,99,1606246161.29873,1.9935667514801,1606246161.31589,1606246161.29942,1606246163.68835,2.37245106697083,1606246652.81376,1606246652.82103,676.202311515808,40,different,40_50_R.jpg
1,1,2,3,1,low,0,1,1606245976.61144,1606245976.61362,1606246165.38411,1606246165.38572,2.10309553146362,1606246167.50158,1606246167.50642,low,l042.png,1606246168.51863,1606246168.50823,1606246171.6717,3.15305399894714,1606246172.57018,1606246172.57315,0.704431056976318,50,1606246173.28712,1606246173.28914,99,1606246179.78919,2.99779415130615,1606246179.80627,1606246179.78992,1606246182.22428,2.41799736022949,1606246652.81376,1606246652.82103,676.202311515808,5,different,5_50_R.jpg
1,1,2,3,1,low,0,3,1606245976.61144,1606245976.61362,1606246183.85782,1606246183.85958,5.80327868461609,1606246189.6767,1606246189.67772,low,l013.png,1606246190.69375,1606246190.67971,1606246192.62817,1.93440628051758,1606246194.7453,1606246194.74702,1.30335426330566,100,1606246196.06247,1606246196.07346,99,1606246202.5646,2.12262558937073,1606246202.58162,1606246202.56535,1606246205.82193,3.2403085231781,1606246652.81376,1606246652.82103,676.202311515808,38,same,38_100.jpg
1,1,2,3,1,high,0,6,1606245976.61144,1606245976.61362,1606246206.63317,1606246206.64052,1.60872888565063,1606246208.25045,1606246208.25613,high,h021.png,1606246209.2675,1606246209.25808,1606246211.23877,1.97125959396362,1606246213.31904,1606246213.32406,0.606949329376221,150,1606246213.93595,1606246213.94042,99,1606246220.43784,2.60650753974915,1606246220.4551,1606246220.43866,1606246223.65658,3.20147395133972,1606246652.81376,1606246652.82103,676.202311515808,27,same,27_150.jpg
1,1,2,3,1,low,0,3,1606245976.61144,1606245976.61362,1606246224.50664,1606246224.51185,1.10627865791321,1606246225.62374,1606246225.6252,low,l055.png,1606246226.64079,1606246226.6273,1606246230.22575,3.58495187759399,1606246230.7757,1606246230.77747,0.703287839889526,100,1606246231.49264,1606246231.4945,99,1606246237.99494,3.17486357688904,1606246238.01169,1606246237.99568,NaN,NaN,1606246652.81376,1606246652.82103,676.202311515808,21,same,21_100.jpg
1,1,2,3,1,high,0,6,1606245976.61144,1606245976.61362,1606246242.02981,1606246242.04033,2.1121506690979,1606246244.14724,1606246244.15668,high,h001.png,1606246245.18095,1606246245.15878,1606246246.28859,1.1076397895813,1606246249.23241,1606246249.23413,2.10333347320557,150,1606246251.34984,1606246251.35691,99,1606246257.85127,2.95993566513062,1606246257.86887,1606246257.85195,1606246261.10517,3.23629784584045,1606246652.81376,1606246652.82103,676.202311515808,16,different,16_150_R.jpg
1,1,2,3,1,high,0,6,1606245976.61144,1606245976.61362,1606246261.92033,1606246261.92273,2.90351867675781,1606246264.83806,1606246264.83989,high,h026.png,1606246265.8551,1606246265.84195,1606246267.92286,2.06775403022766,1606246269.90656,1606246269.90782,0.903052806854248,150,1606246270.82356,1606246270.82523,99,1606246277.32598,2.77128386497498,1606246277.34258,1606246277.32694,1606246280.37726,3.03466725349426,1606246652.81376,1606246652.82103,676.202311515808,5,same,5_150.jpg
1,1,2,3,1,high,0,2,1606245976.61144,1606245976.61362,1606246281.39405,1606246281.40643,1.21383619308472,1606246282.61116,1606246282.62354,high,h045.png,1606246283.64487,1606246283.62569,1606246286.79637,3.15148425102234,1606246287.69634,1606246287.69739,0.902282476425171,50,1606246288.61334,1606246288.62339,99,1606246295.11499,4.09608674049377,1606246295.13237,1606246295.11587,1606246298.8549,3.7225193977356,1606246652.81376,1606246652.82103,676.202311515808,34,same,34_50.jpg
1,1,2,3,1,low,0,1,1606245976.61144,1606245976.61362,1606246299.41726,1606246299.41889,1.50306820869446,1606246300.93448,1606246300.93971,low,l009.png,1606246301.95151,1606246301.94171,1606246303.88821,1.93668842315674,1606246306.00298,1606246306.00642,0.604990243911743,50,1606246306.61987,1606246306.62239,99,1606246313.12318,2.50570058822632,1606246313.13891,1606246313.12467,1606246316.29035,3.15143227577209,1606246652.81376,1606246652.82103,676.202311515808,38,different,38_50_R.jpg
1,1,2,3,1,high,0,6,1606245976.61144,1606245976.61362,1606246317.19038,1606246317.19191,2.80301880836487,1606246320.00807,1606246320.0098,high,h042.png,1606246321.02511,1606246321.01175,NaN,NaN,1606246325.04324,1606246325.04509,0.603188276290894,150,1606246325.66013,1606246325.66221,99,1606246332.16269,2.17987179756165,1606246332.17917,1606246332.16359,1606246335.04719,2.86801075935364,1606246652.81376,1606246652.82103,676.202311515808,34,different,34_150_R.jpg
1,1,2,3,1,high,0,4,1606245976.61144,1606245976.61362,1606246336.23065,1606246336.23946,1.11033773422241,1606246337.34772,1606246337.35578,high,h050.png,1606246338.38143,1606246338.35795,1606246340.3211,1.93966388702393,1606246342.4329,1606246342.43441,1.0027437210083,100,1606246343.44994,1606246343.45611,99,1606246349.95235,2.59069108963013,1606246349.96898,1606246349.953,1606246352.4877,2.51871132850647,1606246652.81376,1606246652.82103,676.202311515808,28,same,28_100.jpg
1,1,2,3,1,high,0,4,1606245976.61144,1606245976.61362,1606246354.02046,1606246354.02255,1.10361385345459,1606246355.13753,1606246355.13853,high,h025.png,1606246356.15457,1606246356.13982,1606246358.93907,2.78449368476868,1606246360.20605,1606246360.20706,0.702149629592896,100,1606246360.92298,1606246360.92483,99,1606246367.42513,2.57475209236145,1606246367.44202,1606246367.42588,1606246369.32638,1.88434910774231,1606246652.81376,1606246652.82103,676.202311515808,34,different,34_100_R.jpg
