onset01_cue	onset02_ratingexpect	onset03_stim	onset04_ratingoutcome	pmod_cuetype	pmod_stimtype	pmod_expectRT	pmod_expectangle	pmod_outcomeRT	pmod_outcomeangle	cue_con	stim_lin	stim_quad	pmod_expectangle_demean	pmod_outcomeangle_demean
9.111249923706055	10.745199918746948	20.670390129089355	32.603349924087524	high_cue	high_stim	2.61834216117859	51.8164244701274	3.318363904953	42.3974377975002	1	1	1	13.093061954138335	7.84822163119609
45.50816011428833	47.40886998176575	58.7442901134491	75.50268006324768	low_cue	low_stim	2.83780407905579	25.088139125927	3.10145711898804	12.0305960965379	-1	-1	1	-13.635223390062066	-22.518620069766214
87.20704007148743	89.52458000183105	102.56209993362427	118.40200996398926	high_cue	low_stim	3.67232298851013	60.8085431846313	3.33534955978394	21.6308868365179	1	-1	1	22.08518066864223	-12.918329329786214
129.10599994659424	131.00671005249023	136.13967990875244	148.6132800579071	high_cue	med_stim	1.70670080184937	55.0269268177854	1.91755747795105	45.6547804022677	1	0	-2	16.303564301796335	11.105564235963584
155.3991401195526	158.61701011657715	168.54710006713867	184.30992007255554	low_cue	low_stim	1.65073084831238	12.6294589530254	3.83684492111206	17.2717425776809	-1	-1	1	-26.093903562963668	-17.277473588623213
189.59523010253906	192.31291007995605	197.7317500114441	208.20216989517212	low_cue	high_stim	3.25137233734131	5.77948582515591	4.0		-1	1	1	-32.94387669083316	0.0
214.1043701171875	216.4052300453186	222.14315009117126	232.71130990982056	low_cue	med_stim	2.00820326805115	9.7275785514016	2.85201263427734	11.6737103128848	-1	0	-2	-28.995783964587467	-22.875505853419313
238.99697995185852	241.39788007736206	246.5337200164795	261.7054500579834	low_cue	med_stim	2.00093030929565	21.4171663529417	2.99111342430115	52.9921513056854	-1	0	-2	-17.306196163047368	18.442935139381284
268.0078001022339	271.2090001106262	279.7353301048279	294.9011700153351	low_cue	high_stim	2.18766856193542	13.3487271132874	3.00123977661133	28.2074908790153	-1	1	1	-25.374635402701667	-6.3417252872888135
305.00493001937866	308.10609006881714	315.1516900062561	328.6137399673462	high_cue	low_stim	2.49066948890686	97.4715591765924	2.06759309768677	11.0353541630349	1	-1	1	58.74819666060333	-23.513862003269214
339.2010200023651	341.9020299911499	350.4344301223755	364.91060996055603	high_cue	med_stim	1.88417267799377	62.4923245251104	2.2195131778717	55.9283901926058	1	0	-2	23.76896200912133	21.379174026301683
370.09587001800537	372.81354999542236	385.5503599643707	395.0051600933075	high_cue	high_stim	1.26732015609741	49.0740160958829	2.19154906272888	81.2188372656145	1	1	1	10.35065357989383	46.66962109931038
