,con1,con2,con3,con4,con5,con6,con7,con8,con9,con10,con11
1,11,0,0,0,0,0,0,0,0,0,0
2,-1,10,0,0,0,0,0,0,0,0,0
3,-1,-1,9,0,0,0,0,0,0,0,0
4,-1,-1,-1,8,0,0,0,0,0,0,0
5,-1,-1,-1,-1,7,0,0,0,0,0,0
6,-1,-1,-1,-1,-1,6,0,0,0,0,0
7,-1,-1,-1,-1,-1,-1,5,0,0,0,0
8,-1,-1,-1,-1,-1,-1,-1,4,0,0,0
9,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
