onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
9.8	0.98	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h051.png	n/a	n/a	n/a
41.5	0.99	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h023.png	n/a	n/a	n/a
67.39	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l013.png	n/a	n/a	n/a
96.8	0.98	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h006.png	n/a	n/a	n/a
128.4	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h003.png	n/a	n/a	n/a
171.0	0.98	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l012.png	n/a	n/a	n/a
198.29	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l055.png	n/a	n/a	n/a
234.89	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l005.png	n/a	n/a	n/a
262.2	0.98	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png	n/a	n/a	n/a
291.1	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png	n/a	n/a	n/a
336.6	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h022.png	n/a	n/a	n/a
371.59	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l035.png	n/a	n/a	n/a
12.5	2.47	expectrating	1	high_cue	n/a	34.71	Strong	34.71	Strong	0.3	2.17	h051.png	n/a	n/a	n/a
43.0	1.77	expectrating	2	high_cue	n/a	28.02	Moderate	28.02	Moderate	0.05	1.72	h023.png	n/a	n/a	n/a
69.49	2.03	expectrating	3	low_cue	n/a	0.23	No sensation	0.23	No sensation	0.17	1.87	l013.png	n/a	n/a	n/a
100.71	1.35	expectrating	4	high_cue	n/a	60.34	Strong	60.34	Strong	0.07	1.29	h006.png	n/a	n/a	n/a
132.3	1.77	expectrating	5	high_cue	n/a	40.08	Strong	40.08	Strong	0.05	1.72	h003.png	n/a	n/a	n/a
174.9	1.72	expectrating	6	low_cue	n/a	8.82	Weak	8.82	Weak	0.68	1.03	l012.png	n/a	n/a	n/a
199.79	2.22	expectrating	7	low_cue	n/a	5.09	Weak	5.09	Weak	0.63	1.58	l055.png	n/a	n/a	n/a
236.99	1.15	expectrating	8	low_cue	n/a	5.57	Weak	5.57	Weak	0.4	0.75	l005.png	n/a	n/a	n/a
264.9	1.31	expectrating	9	high_cue	n/a	10.49	Moderate	10.49	Moderate	0.07	1.24	h040.png	n/a	n/a	n/a
293.3	1.92	expectrating	10	low_cue	n/a	10.86	Moderate	10.86	Moderate	0.27	1.65	l019.png	n/a	n/a	n/a
338.3	2.05	expectrating	11	high_cue	n/a	37.43	Strong	37.43	Strong	0.43	1.62	h022.png	n/a	n/a	n/a
373.4	2.27	expectrating	12	low_cue	n/a	7.44	Weak	7.44	Weak	1.13	1.13	l035.png	n/a	n/a	n/a
24.21	6.99	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	14_100.jpg	same	same	True
51.1	7.0	stimulus	2	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	28_150.jpg	same	same	True
