sub	ses	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
0001	01	0.6246992651787664	2.1422888899629235	0.5423495723188614	5751.887877838972	3.6683124453378846	3.7290999444320807	3.5475624471372003	3.7282749444443737	0.17652863603181493	0.4480034712799449	0.3754678926882402	1.5107165575027466	0.4945431649684906	0	0.02105692340375028	33.05323404927399	14.53704546707718	19.314670324596044	224	320	320	3.580340905555437	12.001003261165849	10.920595603557578	17.180442643951444	36.72579139173137	73.10874270201313	66.76112208287732	90.44883215488744	0.800000011920929	0.800000011920929	0.800000011920929	6.371649364991994	7.243476425761829	9.03905708999927	4.885650604963303	6061833	0	29.019079886376858	9.17723863007492	0.5992208290522116	104.40597055063601	426.8849000507741	406.05653002113104	40297	276.03083564490083	640.7867709830402	113.41140478063288	0.15318813429177514	65.19128783185646	809.6000704348814	808.3224690556526	72789	700.543332003057	924.1882002130151	67.35411189728903	0.5678366482821793	54.575848242377916	1000.2439465967657	1000.0421376228333	415971	904.5613624379039	1095.6492658406496	58.208100704359055	0.1555555909872055	0.43346014618873596	0.49428489804267883	0.658330329664236
0002	01	0.5994121589759621	2.231944064267686	0.521776640113267	7906.090821135421	3.6982916115578264	3.7013499448455875	3.6126999461665754	3.780824943661318	0.17078888590508068	0.4326001321415385	0.39661098195338085	1.4804972410202026	0.4613424956798553	0	0.02418145308424303	35.484297993645484	15.673279058792966	19.51585657152296	224	320	320	3.510969773609799	12.380025417545705	11.635122126244939	19.014371187579318	41.025588113622476	86.5891633428024	78.10236614054912	106.6923469652225	0.800000011920929	0.800000011920929	0.800000011920929	6.217001625707347	6.140711213297511	7.934892021462761	4.188384376466274	5918846	0	24.851080633699894	7.969105998004947	0.9040688782551523	91.7656844234347	409.16861692427705	384.54022336378694	35677	270.0577170737088	629.2814837619662	109.52382359624326	0.5321842734111533	63.33902127873163	812.1484998420237	811.615816950798	57149	706.5339067056775	918.0287026755511	65.55792000995577	0.46232721153669587	49.60866699281922	1001.0758135838208	1000.0465762875974	422408	916.3719639666378	1089.212625902146	52.594186927165794	0.1709308922290802	0.4301927983760834	0.49988478422164917	0.6351491147696037
0003	01	0.639101401052129	2.059515191990612	0.55880502586263	7046.372712888961	3.604187446293422	3.6520999455794696	3.457499948479236	3.7029624448215595	0.17994944065414398	0.456538405192033	0.36351215415382304	1.4836772680282593	0.5258806705474854	0	0.021605314914726826	28.86330561856923	12.6495912124645	17.29814552808668	224	320	320	3.6459333836080967	12.416056220359263	10.870611756080413	16.54984566427388	37.26544707549467	78.69478949919376	70.82965384147433	96.52872494973452	0.800000011920929	0.800000011920929	0.800000011920929	7.057472900701454	6.78735623944009	9.16990069107227	4.636694550514221	5916347	0	27.526705622673035	9.22226715355659	2.29378662843558	91.2812396817007	405.7205702222079	386.078186750412	56098	268.27386438250545	611.3393726348877	105.89188144964798	0.7463271979357415	60.738136604220294	818.3030747363363	815.295240521431	91701	716.0465002059937	932.3277586698532	65.66423191387393	0.41238404719803334	57.344458484500244	999.8899268752348	1000.0587145090103	449828	899.8708968162537	1098.5444544553757	60.42700477056332	0.17969714105129242	0.4518321752548218	0.5026907324790955	0.5817303981923867
0004	01	0.599459975219793	2.251622370900815	0.5543439787840343	3968.9999999999995	3.80195827667974	3.8687999423503885	3.6897249450188134	3.8473499426700184	0.1717123192528894	0.44040981490539005	0.3878778658417205	1.5449974536895752	0.5370645225048065	0	0.015972576714511705	29.604349734667743	12.817258831498654	16.3792865071104	224	320	320	3.2782592844390193	11.055598542796936	10.990888558240906	18.638807847486767	41.974846190281404	90.23647908625622	81.81928180574744	113.24652014070467	0.800000011920929	0.800000011920929	0.800000011920929	7.634343515602929	5.785456680694411	7.8166476104582845	3.9022312313318253	5430474	0	23.41338738799095	8.379348587759681	0.753616594099785	95.56522535292495	397.21426685687965	370.67649214714766	55700	256.8377646803856	623.9330728020517	113.0701181735691	0.13649661079678976	71.68706777987711	799.1519128090881	796.8710922673345	66801	686.0832001268864	922.0262903049588	72.07797249923658	0.5596216163643324	50.123092879107034	999.9960691235117	1000.0709149315953	478819	911.4193163216114	1087.6937434896827	53.655248704971456	0.1682336926460266	0.4425627589225769	0.5084511637687683	0.665415663503753
0005	01	0.6324387085932988	2.1127036297239075	0.6061611220998488	6790.393860946746	3.9524874411033473	3.9584249410148717	3.830362442923152	4.068674939372019	0.20965710027111495	0.4098957105872944	0.38044718914159065	1.4974783658981323	0.5377693891525268	0	0.020234636320817397	25.784780120604562	13.365226889298416	16.441610869995078	224	320	320	4.211410557320005	11.234007712135119	10.731158880030378	16.74805837063601	35.53190697134427	78.95538703119021	70.96184099538557	98.39822898362223	0.800000011920929	0.800000011920929	0.800000011920929	7.536442719574973	6.658393014122276	9.096060668535573	4.4910178408026695	4967938	0	26.830952741205692	8.967273600928467	1.7071443815007088	72.04722697332309	375.36182594039275	361.12389612197876	111952	261.51542349904776	540.7329423205925	85.74853445224541	0.45385458763423037	67.60829829724157	804.437073765709	802.4527647085488	72044	690.2924729920924	924.9683071771632	71.4301802229632	0.39486236365750216	57.36461673705345	1001.8588970956599	1000.0575497038662	528778	907.473489601165	1103.0630742833018	59.71179356682764	0.17178890109062195	0.4291178584098816	0.5047363042831421	0.6497164452868195
0006	01	0.6997172773949399	1.9635573137959415	0.5933844295638202	2027.5182649518313	3.813804109836557	3.874812442260795	3.67394994525388	3.892649941994996	0.1934227773266399	0.4154075508191855	0.3911696718541746	1.5844489336013794	0.6149389863014221	0	0.022639881371853254	26.77623205234129	13.083692737811589	15.939524178635022	224	320	320	3.58329269813866	11.169240709449284	10.20805521386391	15.871632234003789	34.10404717589269	66.14985091543342	60.650348490770234	81.6971473809846	0.800000011920929	0.800000011920929	0.800000011920929	6.855909044943733	8.019541699135806	12.7278881174795	10.81819735467434	5636354	0	38.034504383802414	12.970981623838705	0.9517111113321097	111.85150264584149	432.15961756617776	417.46854212880135	67260	266.0137791633606	643.9104941263795	116.50330405335234	0.030029012416205703	72.72458077689996	810.9127165387195	809.7420719973743	50558	693.7880777195096	931.3898543566465	72.49678693215562	0.3507157849996405	60.44201954296038	1001.4946282793638	1000.0569386184216	506981	900.074019908905	1107.2709681913257	63.00901744616929	0.17420463263988495	0.44711682200431824	0.5174967050552368	0.6092687664770362
0007	01	0.6282212790277975	2.1384744894137846	0.5253063857527921	2922.2340976331366	3.7006582781892283	3.716774944615737	3.640012445759588	3.7451874441923585	0.17699020261017995	0.4339339656940881	0.38907583169573196	1.5148036479949951	0.4584655642509461	0	0.0032295330831875837	31.392284436710465	14.184289873252123	18.060560102502418	224	320	320	3.137259921110969	11.244077851718858	11.248247689229672	19.36340529485919	40.34389705129641	80.77617065692206	73.63029497830094	99.77081722668436	0.800000011920929	0.800000011920929	0.800000011920929	48.81771186211607	6.566828449773229	8.597462340914833	4.429258480668068	5801547	0	26.512275762856007	8.62157751603279	0.9386022422142677	126.55216541062981	433.70737480811584	404.3912992849946	49330	265.43913323432207	663.5377217207101	128.89821391770616	0.061477471994459076	71.1093709275444	812.2769888051926	809.6684502661228	62780	698.0511365532875	936.7280572962013	72.00786160139975	0.550577082265582	48.50071869332513	999.9912852630812	1000.0632898136973	453929	915.0848021060228	1084.5355765521526	51.64702039857829	0.1543438732624054	0.4306774437427521	0.4889114499092102	0.5733054647509491
0008	01	0.6233730748544641	2.140679712379925	0.527057176928696	2760.0556605755096	3.6462624456664554	3.650974945596234	3.5613499469317502	3.7264624444713825	0.17826795172279897	0.429318560719728	0.392413487557473	1.5232499837875366	0.4622420072555542	0	0.025290440278478585	29.748894291818218	13.658299676204043	17.17555886017322	224	320	320	2.5032022754159255	12.503414406487012	11.262788196287602	18.78174790695987	40.352222378878146	78.0531481278792	71.25626530217176	95.3634253997579	0.800000011920929	0.800000011920929	0.800000011920929	4.955581622081198	6.8703529146086755	8.617552064637186	4.6339826211333275	5595194	0	23.505708947777748	8.38828164545356	35.13137555053344	141.78815290438774	457.14237926006655	423.1699202284217	43073	273.20349714159966	681.8267414897681	169.0494660039075	0.34884972467750774	63.27694604686686	819.5890123516517	818.5359447300434	57982	713.6333236545324	928.3411851003766	65.46442911945792	0.5707195646578151	49.88473637998473	1001.249913211486	1000.0671769753098	492495	915.9838981106877	1090.6648951768875	53.24670348158972	0.16995075345039368	0.4357660710811615	0.5022774338722229	0.562089963044023
0009	01	0.5862849596899493	2.224470881558477	0.560710728399902	8018.503898194256	3.6302999459043157	3.6591624454742306	3.5240999474868184	3.7076374447518967	0.15465689319649692	0.43662467608957856	0.40871843071392455	1.4053525924682617	0.4635827183723449	0	0.02350588089494763	31.392087653605202	12.858242853694211	15.668753327765847	224	320	320	3.397149683108133	11.726327953051957	11.203723990940171	18.48769433666042	42.92575495991481	83.44009250884618	76.6771818989851	103.66569822819426	0.800000011920929	0.800000011920929	0.800000011920929	6.600936949501969	6.320087263482305	7.2384990670995215	4.323731709271669	5646930	0	21.496863286942244	7.456259832456236	0.21078811736093428	120.89424065432581	437.31985108391365	414.10388201475143	39889	273.4912550188601	658.7905581817031	121.89592155404377	0.858355038875593	63.20087263482305	808.6430603818485	804.9448694810271	76616	703.6721112765372	930.0286009013653	68.64379195043006	0.5769259486936491	51.192706834206675	1001.2805459432427	1000.0608750656247	546039	915.1695792526007	1091.6509101465344	54.09327637686389	0.1583554446697235	0.42202895879745483	0.4897630512714386	0.5854754180184677
0010	01	0.48245613155873346	2.6050317968551346	0.46583266196120926	9519.068604081633	3.664724945391343	3.8550499425552793	3.49897494786121	3.6401499457575386	0.16120484228545393	0.43225030857188274	0.40654484914266337	1.287792682647705	0.43690857887268075	0.030439976822579817	0.004973426047837502	29.676899198966677	12.567924655088442	15.185293652841708	320	320	224	3.200208397618831	13.70960245839385	11.907418170400753	18.81244365518958	42.31529678025426	90.26459889899733	82.31070900936606	114.3522313488466	0.800000011920929	0.800000011920929	0.800000011920929	46.88970698117175	5.729360235715886	9.916508692948069	3.8643947541713715	9593808	0	38.73177469521761	19.945297987193833	7.844170601590406	99.1569958976738	394.87607044606835	370.05971128866076	53450	249.25346164405346	614.5507455339654	115.63504733334636	0.8242920206621078	53.126794913001845	789.2047444666048	789.3904556930065	80431	695.503228597343	882.8824605979025	57.57902541819647	0.9119694801734042	48.504242904640165	998.4855540932499	1000.0438833720982	575172	908.7475573047996	1081.7670497074723	53.15859185324495	0.1579834222793579	0.42211464047431946	0.5030331611633301	0.7383283620801453
