sub	ses	run	fd_mean	dvars_mean	run_type
sub-0001	ses-01	run-01	0.090932961	34.64374514993216	vicarious
sub-0001	ses-01	run-02	0.1136527519297828	38.02277834938942	cognitive
sub-0001	ses-01	run-03	0.1556151978890699	32.87978055057705	pain
sub-0001	ses-04	run-01	0.1378449635134204	33.79065502064694	
sub-0001	ses-04	run-02	0.1315835518962007	35.11316311668928	
sub-0001	ses-04	run-03	0.1150229527042062	33.386059911804615	
sub-0002	ses-01	run-01	0.3661989655338691	34.92055387370838	pain
sub-0002	ses-01	run-02	0.190925642	31.818774242250285	cognitive
sub-0002	ses-01	run-03	0.1952621604087255	34.863643876004595	vicarious
sub-0002	ses-01	run-04	0.3042575021079219	32.914764927669346	cognitive
sub-0002	ses-01	run-05	0.4931537762801377	37.70134090815155	pain
sub-0002	ses-01	run-06	0.319442946	33.686744018369694	vicarious
sub-0002	ses-03	run-01	0.1674925577746796	31.06904799770379	vicarious
sub-0002	ses-03	run-02	0.5203891595407577	37.30904437313433	pain
sub-0002	ses-03	run-03	0.1686271883455797	30.576016957520093	cognitive
sub-0002	ses-03	run-04	0.6813243281216457	41.47842875849732	
sub-0002	ses-03	run-05	0.1847293039701492	32.43800003903559	vicarious
sub-0002	ses-03	run-06	0.1220513584392651	33.68170362916188	cognitive
sub-0002	ses-04	run-01	0.2349524133999999	31.82623037428243	vicarious
sub-0002	ses-04	run-02	0.1862133563892077	35.77195100803674	cognitive
sub-0002	ses-04	run-03	0.5821446426440873	38.98135445694604	pain
sub-0002	ses-04	run-04	0.7167574740528128	39.94562496211251	pain
sub-0002	ses-04	run-05	0.4751399345235361	35.19453980252583	cognitive
sub-0002	ses-04	run-06	0.1403231617588977	36.08340539724455	vicarious
sub-0003	ses-01	run-01	0.1241955811354764	32.24414808495982	pain
sub-0003	ses-01	run-02	0.1125081480482204	31.826893502870263	vicarious
sub-0003	ses-01	run-03	0.1182281634237198	31.144910499425944	cognitive
sub-0003	ses-01	run-04	0.1075848983047072	34.74011725602755	cognitive
sub-0003	ses-01	run-05	0.1019865921028702	32.67655640528129	vicarious
sub-0003	ses-01	run-06	0.1056464294236509	33.24485005396097	pain
sub-0003	ses-03	run-01	0.1120372218783007	41.61744951549942	vicarious
sub-0003	ses-03	run-02	0.1145334201349023	42.114165843857634	cognitive
sub-0003	ses-03	run-03	0.125979732	40.99200309529277	pain
sub-0003	ses-03	run-04	0.1682656582365097	34.838763389207806	pain
sub-0003	ses-03	run-05	0.1283938159954075	37.54669725832377	cognitive
sub-0003	ses-03	run-06	0.130039246	37.12222851435132	vicarious
sub-0003	ses-04	run-01	0.1183307888048219	33.07164587141217	cognitive
sub-0003	ses-04	run-02	0.1446351847543053	33.279448293915046	pain
sub-0003	ses-04	run-03	0.1138505903834672	33.70642129276693	vicarious
sub-0003	ses-04	run-04	0.1310766518518943	31.53015058323766	vicarious
sub-0003	ses-04	run-05	0.1345652559161882	34.08081469690011	pain
sub-0003	ses-04	run-06	0.117936492	33.39249876808267	cognitive
sub-0004	ses-01	run-01	0.090944021	33.852468880597016	vicarious
sub-0004	ses-01	run-02	0.092403545	38.22767513777268	pain
sub-0004	ses-01	run-03	0.1069413625797933	36.84058588	cognitive
sub-0004	ses-01	run-04	0.2580085049598163	37.58452965442021	pain
sub-0004	ses-01	run-05	0.1838243290748564	37.641422145809415	vicarious
sub-0004	ses-01	run-06	0.1809638347577497	36.29223054075775	cognitive
sub-0004	ses-03	run-01	0.1277609331182548	38.89457490929965	cognitive
sub-0004	ses-03	run-02	0.121757029	38.21963814	vicarious
sub-0004	ses-03	run-03	0.3192860369816303	38.16636438346728	pain
sub-0004	ses-03	run-04	0.1319285982663604	34.01401605625718	vicarious
sub-0004	ses-03	run-05	0.1202255044316876	35.419642342135475	cognitive
sub-0004	ses-03	run-06	0.2286770529804822	36.297554490241104	pain
sub-0004	ses-04	run-01	0.1755685466326061	32.42363456257176	pain
sub-0004	ses-04	run-02	0.136018553	34.400260549942594	cognitive
sub-0004	ses-04	run-03	0.110941046	34.445577332950634	vicarious
sub-0004	ses-04	run-04	0.1518919607003444	32.94289843053961	cognitive
sub-0004	ses-04	run-05	0.3209661417523536	37.35146310447761	pain
sub-0004	ses-04	run-06	0.1174317722962112	33.374189633754305	vicarious
sub-0005	ses-01	run-01	0.1080256568634902	34.54902166130884	pain
sub-0005	ses-01	run-02	0.106669279	35.27060209758898	cognitive
sub-0005	ses-01	run-03	0.091400198	35.35459457405281	vicarious
sub-0005	ses-01	run-04	0.1015724493458093	36.90406683122848	cognitive
sub-0005	ses-01	run-05	0.1249402649322617	32.07567145579793	pain
sub-0005	ses-01	run-06	0.117435073	39.41228026980481	vicarious
sub-0005	ses-03	run-01	0.1380073308174511	30.981789532721013	vicarious
sub-0005	ses-03	run-02	0.1588046263605051	33.86245660160734	cognitive
sub-0005	ses-03	run-03	0.258276654	30.58876959586681	pain
sub-0005	ses-03	run-04	0.1402482962934557	30.32622448220436	pain
sub-0005	ses-03	run-05	0.1642074987577496	30.42466094603904	cognitive
sub-0005	ses-03	run-06	0.1398370878760045	29.63012203444317	vicarious
sub-0005	ses-04	run-01	0.1155789821733639	34.20415960964409	cognitive
sub-0005	ses-04	run-02	0.1233152385509758	42.56095324684271	vicarious
sub-0005	ses-04	run-03	0.092508093	33.273019151549946	pain
sub-0005	ses-04	run-04	0.091871401	43.71702850746269	vicarious
sub-0005	ses-04	run-05	0.133839024	36.32103587141217	cognitive
sub-0005	ses-04	run-06	0.126566805	44.713317721010334	pain
