	corr	dotprod	run	runtype	ses	sub	trial
0	-0.22022497091401463	-293521.6087255003	1.0	pain	1.0	123.0	0.0
1	0.4002958854301343	326553.12049381796	1.0	pain	1.0	123.0	1.0
2	0.24660655162074957	234320.40991405086	1.0	pain	1.0	123.0	2.0
3	-0.24889738087981825	-296277.99738754064	1.0	pain	1.0	123.0	3.0
4	0.12191374605792409	105801.0545992052	1.0	pain	1.0	123.0	4.0
5	0.22764192807614653	220653.15178975192	1.0	pain	1.0	123.0	5.0
6	0.052279159814013015	26617.253533936542	1.0	pain	1.0	123.0	6.0
7	-0.10399577133796913	-100813.51783070856	1.0	pain	1.0	123.0	7.0
8	0.09520735760648888	95067.73249146334	1.0	pain	1.0	123.0	8.0
9	0.17425120043550782	104541.59797562033	1.0	pain	1.0	123.0	9.0
10	0.10010776589588516	81025.41047302914	1.0	pain	1.0	123.0	10.0
11	0.1193822545353744	103987.36360101144	1.0	pain	1.0	123.0	11.0
12	0.24582063223035797	562597.6198567346	6.0	pain	1.0	123.0	0.0
13	0.023207521795643917	24919.922627469885	6.0	pain	1.0	123.0	1.0
14	-0.06374610476288814	-83616.50640085597	6.0	pain	1.0	123.0	2.0
15	0.17310141904326456	171826.4573665883	6.0	pain	1.0	123.0	3.0
16	0.13737697019431114	268448.10421237466	6.0	pain	1.0	123.0	4.0
17	-0.03579718866129478	-43478.161804367744	6.0	pain	1.0	123.0	5.0
18	0.2285119773560048	189085.10152740666	6.0	pain	1.0	123.0	6.0
19	0.04862365393310293	49914.80171569407	6.0	pain	1.0	123.0	7.0
20	-0.06836707243525644	-71846.24129342052	6.0	pain	1.0	123.0	8.0
21	-0.13335041385136215	-140455.45783627807	6.0	pain	1.0	123.0	9.0
22	0.11401125382461513	135853.82741470382	6.0	pain	1.0	123.0	10.0
23	0.030043164548227155	76360.72551432661	6.0	pain	1.0	123.0	11.0
