	corr	dotprod	run	runtype	ses	sub	trial
0	0.2902417386249837	293598.1251904536	2.0	cognitive	1.0	95.0	0.0
1	-0.07340218363687451	-74747.92998995073	2.0	cognitive	1.0	95.0	1.0
2	-0.026565242084488808	-33228.34515474535	2.0	cognitive	1.0	95.0	2.0
3	-0.039189673129998666	-46901.28404545792	2.0	cognitive	1.0	95.0	3.0
4	0.3167848372543949	259446.9175069746	2.0	cognitive	1.0	95.0	4.0
5	-0.11761364160830258	-142321.54992070617	2.0	cognitive	1.0	95.0	5.0
6	0.2272277038893704	186366.13012023034	2.0	cognitive	1.0	95.0	6.0
7	0.1320065130740417	153235.3460140583	2.0	cognitive	1.0	95.0	7.0
8	-0.10318863062293843	-108622.9970077063	2.0	cognitive	1.0	95.0	8.0
9	0.40621287072195855	403652.7441196339	2.0	cognitive	1.0	95.0	9.0
10	0.005126507458173127	2973.09503828071	2.0	cognitive	1.0	95.0	10.0
11	-0.12181029536029836	-139638.65425214363	2.0	cognitive	1.0	95.0	11.0
12	0.16346849400707952	134106.87358557453	4.0	cognitive	1.0	95.0	0.0
13	0.32565423172042773	240169.85488712857	4.0	cognitive	1.0	95.0	1.0
14	0.1446992921432927	185628.7428950482	4.0	cognitive	1.0	95.0	2.0
15	-0.14397275868472637	-214470.47838880317	4.0	cognitive	1.0	95.0	3.0
16	0.15502941472367776	130690.79647157041	4.0	cognitive	1.0	95.0	4.0
17	0.05169065858757268	38326.991001443756	4.0	cognitive	1.0	95.0	5.0
18	0.19110864264745311	204215.09254407443	4.0	cognitive	1.0	95.0	6.0
19	-0.06319510958540141	-71359.09534319346	4.0	cognitive	1.0	95.0	7.0
20	0.38676717096146657	398523.3318686049	4.0	cognitive	1.0	95.0	8.0
21	0.4033815828416566	303625.1909081578	4.0	cognitive	1.0	95.0	9.0
22	0.21843881625716924	356064.13781189534	4.0	cognitive	1.0	95.0	10.0
23	-0.0669006496251493	-138940.07434892937	4.0	cognitive	1.0	95.0	11.0
