	corr	dotprod	run	runtype	ses	sub	trial
0	-0.18806758097934287	-199683.79111747982	2.0	vicarious	1.0	90.0	0.0
1	-0.20179607757316018	-166119.92979834485	2.0	vicarious	1.0	90.0	1.0
2	0.1219028296093564	138067.9765359229	2.0	vicarious	1.0	90.0	2.0
3	0.27096835160810506	224782.2142971091	2.0	vicarious	1.0	90.0	3.0
4	0.30422567406754897	299265.4711413532	2.0	vicarious	1.0	90.0	4.0
5	-0.24936731657455227	-266490.55748441344	2.0	vicarious	1.0	90.0	5.0
6	0.24677610504768804	220306.58770289618	2.0	vicarious	1.0	90.0	6.0
7	0.07475341047064525	55684.38501162963	2.0	vicarious	1.0	90.0	7.0
8	-0.11913202846407589	-148184.81156191218	2.0	vicarious	1.0	90.0	8.0
9	-0.17688541725146306	-329480.38895974663	2.0	vicarious	1.0	90.0	9.0
10	-0.024081231592300953	-25156.631327371277	2.0	vicarious	1.0	90.0	10.0
11	0.2419737734722365	291420.9555967362	2.0	vicarious	1.0	90.0	11.0
12	-0.2662800165224506	-240475.11340020175	4.0	vicarious	1.0	90.0	0.0
13	-0.2860626479605245	-232682.08763719542	4.0	vicarious	1.0	90.0	1.0
14	0.014528242444947026	10723.036512866925	4.0	vicarious	1.0	90.0	2.0
15	0.08812822671740132	76106.73946757475	4.0	vicarious	1.0	90.0	3.0
16	0.24062289393628877	210834.09102791306	4.0	vicarious	1.0	90.0	4.0
17	0.09913863627714568	103807.44493837243	4.0	vicarious	1.0	90.0	5.0
18	0.07521651700713508	58953.22081932305	4.0	vicarious	1.0	90.0	6.0
19	0.1614611867482265	114414.42292384159	4.0	vicarious	1.0	90.0	7.0
20	0.21645032712442502	178942.4547462719	4.0	vicarious	1.0	90.0	8.0
21	0.10831699044473382	75724.36185594396	4.0	vicarious	1.0	90.0	9.0
22	0.008489068534102152	7293.123637168666	4.0	vicarious	1.0	90.0	10.0
23	-0.2263620481867817	-205744.06854057216	4.0	vicarious	1.0	90.0	11.0
