mean_ExpL_Subj_N1,mean_ExpL_Subj_N2,mean_ExpL_Subj_N3,mean_ExpH_Subj_N1,mean_ExpH_Subj_N2,mean_ExpH_Subj_N3
48.5237749323727,48.5005560262744,48.4813920529113,49.3220196638473,49.3090753930173,49.3011483369548
48.135833719746,48.1413441050527,48.1428735914371,49.8614784613139,49.8597973291518,49.8538043360551
48,48,48,50,50,50
48.6630808461716,48.6465021547563,48.579410497159,49.605605297701,49.5586106808726,49.6225773493625
48,48,48,50,50,50
48.8232924519759,48.8759791711516,48.9096710787814,49.1446536720579,49.1602929793961,49.0297229244329
48.4831248833842,48.4777242628448,48.5604050603691,49.5960331223609,49.5817636070707,49.5234231648025
48.8462390805082,48.7916329066593,48.8206618896968,49.2995980667169,49.2935106571692,49.2649482599865
48.2545605664788,48.2149063613133,48.2405483464303,49.7749926074453,49.7741328318086,49.7991818033367
48.0784839339934,48.0878124218633,48.0694644261165,49.9617809847438,49.9500338415243,49.9603490786381
48.4777356536293,48.4750778149651,48.4046201884732,49.6467697648131,49.6096058224386,49.6815280375009
48.4500132510663,48.3688237005104,48.4386451145874,49.6748493090297,49.6820496186427,49.6464081422823
48.7227473982158,48.7782537656746,48.7997280334569,49.2631670526921,49.2428755823625,49.1961211468339
48.1611107886485,48.1408131881668,48.1394608835155,49.8177373766162,49.8103408164415,49.8274172595132
48.3105245053712,48.2965936493511,48.2666550719075,49.7481559197263,49.7747240731714,49.773112243742
48.72540694531,48.815146095748,48.7354932446901,49.284091483874,49.2059289452724,49.206610397566
48.6688509395638,48.6351486798518,48.6899187804314,49.4853742779222,49.5364430045308,49.4762528792068
48.8210075488338,48.7652475958477,48.8747298891614,49.2122598102909,49.2143152647855,49.1503346275483
48.5891562353632,48.661205030003,48.5714490592626,49.2970265128897,49.3875023303328,49.3960980631388
48.4921229161737,48.4612460518298,48.5003420028333,49.708281007631,49.6940697059363,49.6722174385761
48.7589944883528,48.6703316031547,48.6723574711726,49.2661062566034,49.317012332943,49.3171415768686
48.668883806379,48.7751041398721,48.7916475245488,49.3207591153924,49.2215762836121,49.2193615325261
48.0964120396202,48.0854313131807,48.0943151729589,49.8528900116133,49.861012307195,49.8357332215585
48.7505166041958,48.8024137644238,48.7632692972675,49.3199737881157,49.254576988439,49.2501245224001
48.8962229696777,48.7374871148881,48.6825201162459,49.2031855655255,49.3103661593609,49.3854140529969
48.4001898476896,48.3500731286551,48.3415102055971,49.5248416643209,49.5611331281268,49.592903076857
48.2181934321113,48.2355188346685,48.2515752974517,49.8002726588726,49.7889373586896,49.7552787217133
48.3784954812975,48.4114210935983,48.3189960488375,49.486793464015,49.3915154197511,49.5747743985379
48.2959112934535,48.3254805050632,48.3183817410648,49.6764329576327,49.6324651181419,49.6275706984826
48.8905202664725,48.7678311885371,48.7643484132899,49.2217322929187,49.4288380716651,49.3170632215574
48.079587899549,48.0820675656187,48.0805487588983,49.9144771389043,49.9083524298376,49.9058928969419
