mean_PainL_Subj_N1,mean_PainL_Subj_N2,mean_PainL_Subj_N3,mean_PainH_Subj_N1,mean_PainH_Subj_N2,mean_PainH_Subj_N3
48.4157116709424,48.8003281021875,49.3201852563288,48.6174669775591,49.1583104830547,49.4734074453064
48.1048051185795,48.5832767441659,49.0602257987972,48.9323547481121,49.4486589547093,49.8818147215376
48,48.6,49.2,48.8,49.4,50
48.5280391161658,48.8531555640314,49.3306664728939,48.7471360339566,49.2678122529182,49.7177070828701
48,48.6,49.2,48.8,49.4,50
48.5774019496021,48.9471892917937,49.5075396156673,48.5041075147153,49.0661595158566,49.34845633144
48.3573467137883,48.7824583114242,49.4365426728625,48.6350104152878,49.2377157247927,49.6605451271483
48.6641160512688,48.8572846253675,49.4599412501657,48.6202413173641,49.0964913032417,49.4295262275315
48.1651819298139,48.6176544699709,49.1119962554438,48.873739866494,49.3870455665932,49.8485136148663
48.0568161789044,48.6344742945353,49.2269570527244,48.7871784393455,49.3766936964259,49.9706846653532
48.3286881973522,48.7191351780542,49.2057026414953,48.8138583422525,49.2697273179652,49.7769151939339
48.3400961488089,48.7208803509144,49.3778142398219,48.6858696004962,49.2573332332463,49.7620720210277
48.6165975013656,48.9189094968741,49.4566033808722,48.5843896667615,49.1186431816162,49.3891930560991
48.1225088854312,48.6074675585724,49.1580123727305,48.822310016217,49.3637925867735,49.8658793210842
48.1813478351565,48.6501632431467,49.1309861595901,48.8523758106554,49.4045670540443,49.8250825580661
48.4650514463643,48.9400663582628,49.5179307568737,48.5141148587872,49.0893806311951,49.4715967075741
48.4495231922613,48.8493414132584,49.343734507686,48.7264189611541,49.3056572718675,49.5809325766468
48.661234752629,48.8751133547406,49.5509746941952,48.4900507187975,49.0591437010055,49.3327534433518
48.4010103301725,48.8432293905931,49.2463058343093,48.6537777402494,49.2108931645641,49.5594118278053
48.323166919514,48.7970853717826,49.3982298220899,48.6812394843954,49.2806632535976,49.7589315732596
48.5554017949997,48.8293306652894,49.4700821990774,48.5329184427964,49.1015654644672,49.4728893962659
48.4859417570826,48.91467484679,49.4621653571823,48.619875114719,49.0984025251874,49.4215025119172
48.0682264646845,48.6286822068921,49.2363521391034,48.7416986961516,49.3420073008936,49.8880842120243
48.6011518029767,48.9133998839724,49.4702281329127,48.5261356436373,49.1057280403337,49.3496184011321
48.7274024397547,48.8590640495397,49.3562150929873,48.6096148728421,49.1492649901726,49.5148513036919
48.3190578560313,48.7515375066398,49.3569509134789,48.6005096670895,49.2235541968842,49.7073174103567
48.1635770180121,48.6095193525457,49.118856609727,48.9021897448392,49.3921654501023,49.8028920767013
48.259029353167,48.7808604382438,49.3254993621716,48.5696447881059,49.2140690196898,49.6682609714712
48.2186533249701,48.7226495290438,49.3235263936462,48.6816584633381,49.2501630050903,49.7368027645835
48.6768609025246,48.927542313625,49.4813831410388,48.495984257345,49.1941761393605,49.421860207202
48.0662461638193,48.5865678851777,49.1362151568997,48.8639775546115,49.4087878143027,49.9231655388963
48.4824693314007,48.8057886224336,49.4406801900121,48.5816892321955,49.1386172209693,49.4940039169947
48.3807747922231,48.7176554687609,49.2186958210572,48.8744912662147,49.3038764935049,49.7780023959864
48.1158572343828,48.6148510758042,49.1547941063719,48.8386943576559,49.391236109594,49.8914185857637
48.6917349428439,48.93016999331,49.5017429745748,48.4645826266917,49.1485894883912,49.5202788395454
48,48.55,49.1,48.9,49.45,50
48.5536057803159,48.9646708995266,49.3968252952289,48.5221707948967,48.9718621489164,49.1658687450282
48.734096960894,48.896183695118,49.5137157719692,48.4600719743136,48.9955901230581,49.1563868739377
48.5653755204447,48.8592696982034,49.404750072443,48.602348972379,49.1552132246386,49.4100562974489
48.0816225700275,48.6401090540789,49.2430915153791,48.7636957020441,49.36554297019,49.9344322533653
48.212607943281,48.6784381772451,49.2262859763771,48.7597711657725,49.3072639161864,49.6982393995547
48.6812536999184,48.8334923271249,49.4071172730763,48.7401981426944,49.2558198174674,49.5423947637835
48.88708361068,48.9456436479792,49.6174729994259,48.4217710423157,49.019216682948,49.2053127576906
48.4227414705026,48.8345151644756,49.3284259458615,48.5600575311445,49.0254851982131,49.3169475512534
48.2026097779272,48.6639305485092,49.2126313079939,48.8378609853539,49.3799284652728,49.883271586175
48.5334872621542,48.8636953897575,49.4630271481193,48.5207729751356,49.0816904711674,49.6206869969418
48.4185988513699,48.7763575826038,49.3991202382981,48.6318115852634,49.2148866957645,49.6952257645662
48.6409478265538,48.8900296763437,49.4044815270793,48.7010048124493,49.2317137273272,49.551993774197
48.2600656030398,48.7214808978716,49.2948045106824,48.7142703861572,49.300876457015,49.8164479696847
48.5806630547278,48.8319463984949,49.2929149484019,48.6299397979184,49.102389365622,49.4293906113158
48.2423526175982,48.7136167307014,49.3156299069989,48.7082031376304,49.2641602878722,49.8426331710435
48.1726606995269,48.5909577297046,49.0933731658663,48.9112404227292,49.3911231835865,49.8578745527692
48.3011936997136,48.6856691812212,49.2422177329238,48.8340628065829,49.3537385994098,49.7114362767471
48.4665940689911,48.8915688312021,49.3844926331274,48.7466431409258,49.2618964009096,49.6562524012214
