"subj","rand_intercept","rand_cue","fix_intercept","fix_cue","task"
"85",-53.3913478657298,19.2516017798154,80.8505771253466,-34.307910576014,"pain"
"29",-52.1599562664958,21.714881271,80.8505771253466,-34.307910576014,"pain"
"19",-51.7009896084952,23.1050214771595,80.8505771253466,-34.307910576014,"pain"
"66",-50.8624004938983,15.657249191045,80.8505771253466,-34.307910576014,"pain"
"60",-45.2685933109612,2.54630728178507,80.8505771253466,-34.307910576014,"pain"
"100",-41.2683178328849,24.4323736457314,80.8505771253466,-34.307910576014,"pain"
"97",-40.1763139322061,19.7986279512948,80.8505771253466,-34.307910576014,"pain"
"58",-38.1778573281151,12.5482601899623,80.8505771253466,-34.307910576014,"pain"
"84",-36.8646559161332,-0.360136932364963,80.8505771253466,-34.307910576014,"pain"
"81",-35.0742874458243,-6.45965266515603,80.8505771253466,-34.307910576014,"pain"
"53",-34.8924574762587,5.91503698324057,80.8505771253466,-34.307910576014,"pain"
"89",-34.549545178603,18.5538667259874,80.8505771253466,-34.307910576014,"pain"
"8",-33.729459388892,27.5858603281183,80.8505771253466,-34.307910576014,"pain"
"18",-31.934610755851,15.2375840106806,80.8505771253466,-34.307910576014,"pain"
"95",-28.8503274416012,15.0221732019753,80.8505771253466,-34.307910576014,"pain"
"73",-28.2443108071125,31.0149034738097,80.8505771253466,-34.307910576014,"pain"
"55",-25.3108769509986,-0.190734610911612,80.8505771253466,-34.307910576014,"pain"
"104",-25.1057219256487,13.3827741665032,80.8505771253466,-34.307910576014,"pain"
"103",-24.9622379796217,28.5157646211515,80.8505771253466,-34.307910576014,"pain"
"30",-24.9426406911936,-2.97758224287705,80.8505771253466,-34.307910576014,"pain"
"39",-24.098509477831,26.7239843103155,80.8505771253466,-34.307910576014,"pain"
"26",-21.5525426238779,20.3743402847095,80.8505771253466,-34.307910576014,"pain"
"64",-19.5034335379972,-11.1417017609075,80.8505771253466,-34.307910576014,"pain"
"52",-18.0334324203545,0.405977683733083,80.8505771253466,-34.307910576014,"pain"
"31",-15.9788247273274,23.450777291696,80.8505771253466,-34.307910576014,"pain"
"75",-15.6579668693636,-1.17357709996995,80.8505771253466,-34.307910576014,"pain"
"23",-15.4834240364901,-19.558737921755,80.8505771253466,-34.307910576014,"pain"
"82",-15.0361462500095,-9.25513028240027,80.8505771253466,-34.307910576014,"pain"
"21",-14.8097772773115,-22.9691991710201,80.8505771253466,-34.307910576014,"pain"
"59",-14.601213284306,3.7503816763385,80.8505771253466,-34.307910576014,"pain"
"35",-14.4103544120117,-7.10254118964157,80.8505771253466,-34.307910576014,"pain"
"10",-13.7020042619708,-13.9504876095039,80.8505771253466,-34.307910576014,"pain"
"91",-13.6647096067591,18.6387504052783,80.8505771253466,-34.307910576014,"pain"
"76",-13.1228113733696,-24.1351594176385,80.8505771253466,-34.307910576014,"pain"
"94",-11.8126090282358,-20.5580439575316,80.8505771253466,-34.307910576014,"pain"
