Unnamed: 0,sub,ses,run,runtype,ROI,ROIindex,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
243.0,sub-0079,ses-03,run-02,pain,TPJ,277,cueL_stimM,11.061786653071499,6.94754603234014,21.7942362752956,-1.85122085948251,-15.4409039352549,12.3689611208288,18.091441650568896,9.823589766414221,6.22961011677603,3.0650460867721003,4.6566076590991115,14.295636356030199,43.4110899339316,38.2958750455489,19.478502107641106,34.8530803585647,30.7485440386199,7.28634993414221,-24.377529098985,-20.871391258025106,-36.9795553209544,-31.388049162903105,-49.667892798422784,-45.0431156322343,-39.7830770096145,-16.9889463007664,-46.4092366626933,-53.9919407220609,-62.6738930726349,-50.213341310024795,-44.081087775239716,-20.9050437366352,-12.557281226354,-8.221881144436571,9.19777976384216,12.573999881821498,39.0909966936123,28.466570849459,20.614628546579606,28.704248565717894,-7.053434081545451,10.6881157962085
244.0,sub-0079,ses-03,run-02,pain,TPJ,277,cueH_stimL,87.8460315940873,92.34632894670679,79.6154791441472,84.3097058339806,69.1462079899293,50.7554217758533,59.9915292968587,42.00970946267571,27.936926136964694,43.0281260484776,16.0777241347697,46.057407047251395,30.031148780487598,32.7761582928975,14.7994457416405,40.7605199803085,41.1815227595167,29.1795590646876,48.564304054896404,19.1767318368967,14.1152839065809,7.7574489586074815,-9.12568166794892,-12.443485493818901,-12.331284234720302,-27.1624993616955,-30.073953170449,-47.878989714361204,-38.4797112897096,-24.2887050333533,-33.3190107021769,-47.450726721989,-8.54007063803579,-10.902867618851099,-8.49919623965013,-28.0727381177622,-19.8059693682975,-24.8684217308576,-19.532865496177106,2.66680733104988,-4.9756479541054,-1.96977720147993
245.0,sub-0079,ses-03,run-02,pain,TPJ,277,cueL_stimL,-3.85750206498301,2.15137134132794,-24.8755284927699,-16.5784322420274,13.4076757759575,-0.6535437074525129,-10.2097020547493,-33.3547611347705,-0.6707525535219929,-11.0955130656994,-1.80290035459177,3.67974636462327,-48.6857389171334,-46.0605119425716,-21.310980072688398,-41.351553538664795,-0.323465946160013,24.0085884330937,-31.3083402389543,-14.6354205948371,-69.75628602541039,-58.1392565168544,-66.3467084011123,-53.304232431884394,-27.5686549561881,-10.7044805503954,-25.0889251411691,-33.2948116667609,-29.570133930832,-17.285946922652,-36.136115627659706,-20.537735089468697,-31.0683462160192,-8.519721827890411,-11.183930797347,-11.4173341217462,3.15616293381311,8.659054384873,9.366811208259039,10.113272556228301,7.00691042467167,-12.9470118231343
246.0,sub-0079,ses-03,run-02,pain,TPJ,277,rating,13.6942769344624,17.6939367712322,18.4335284619124,14.003641570424302,23.048636452843,8.29828401801666,7.71265536157995,13.793612503956098,21.323149254911694,17.2423214977034,11.982234038652301,1.58978234197002,6.52583825366105,-1.31839838334599,-5.29186606905591,-8.99359527705701,-0.8223526166564169,-4.08330165835105,-3.3176590535536,-5.15397680822412,-7.64244334869977,-5.515620064181008,1.01928322006358,-2.49365264510345,-5.06682156096076,-6.9504243719159104,-17.9784185099281,-20.5821734220347,-16.6096287001396,-19.0973896821033,-11.7979781366524,-9.102768589150633,-0.703724702282898,-10.843673605276999,-6.179340413287259,-11.0150045056195,-7.78219449811689,-10.7029915163945,-27.5500447606361,-21.818118933534894,-11.727052966452598,-18.5807151267661
247.0,sub-0079,ses-03,run-02,pain,TPJ,277,cue,13.7265560635535,13.640200852205,9.14663065265883,19.4458358753207,22.633102072274298,-8.085343114773929,-17.436713591587502,-19.9266050624221,-20.216357631209107,-16.7617531296295,-10.7121319862439,-11.075710278133302,-27.9432046209667,-21.4700319146714,-18.527626167468,-27.4261543305012,-22.9483751147552,-12.3952032983739,-7.90895904037552,-4.07396879906787,0.649349133405735,8.54700619891855,17.8012628042683,19.670604615303894,16.172370780188302,31.5989788055351,35.6723355969463,37.8998094477984,35.6079937520994,41.667446681757795,37.6918882990756,29.324435131555802,23.6827955307872,6.9519839649012685,23.1290614624228,14.5099978546204,1.8753477120583897,-3.2920815516040403,-5.3608597158991,-19.9218915459409,-10.7632001391149,-17.8471565958392
248.0,sub-0079,ses-03,run-02,pain,TPJ,278,cueH_stimH,11.7443636069856,7.56519750030839,-7.5673702327501395,-9.792554630636461,5.2911275247763605,18.798834231806396,-14.3313967436951,-37.0055036347222,-6.888624527785961,-26.104688718831703,3.05900245360067,-5.82900751330192,-26.3809661441234,-41.7142053977004,-46.8055551368725,-41.9113997320555,-67.16069649583939,-54.3793837160734,-74.00702837181029,-61.189308216871396,-97.650931784648,-66.0247878590418,-58.2357552913202,-76.0515143210073,-37.4773846165135,-44.1473090302594,-40.3683005511394,-38.2649755035485,-37.71711884524971,-36.11090166940321,-54.96832678082729,-25.050013137309197,-38.33649203827471,-31.136283894067198,-35.2899833537762,-19.4734284934811,4.9392289131338885,5.21240326492216,-3.5310031371371298,3.3347458723096697,26.5054335526712,-6.2760774295300115
249.0,sub-0079,ses-03,run-02,pain,TPJ,278,cueL_stimH,-42.028915155315296,-35.0313314342202,-30.2556537350555,-36.0549223086828,-33.5102176158996,-45.40131276186911,-37.9222479414819,-43.9413507652562,-41.1638575544221,-17.3575672264255,-8.68871972647821,-29.858724998617802,-40.9911309919423,-36.384789919924295,-26.820453262191702,-1.9473502854016296,-48.2051010335535,-40.735009207631,-17.730272918095103,-54.9280288201235,-24.0819805583324,-33.6738776055136,-63.014154811286105,-49.4003250400181,-59.9065533425855,-69.2962872997628,-67.36485962458299,-65.559910876854,-60.8936791611814,-46.910956082872886,-38.100388543730105,-35.4981542041667,-3.39977814134363,12.250461440495698,12.4789015319361,51.5396541061448,47.6975395584632,42.219778555831496,62.288226424114285,42.965672303462,32.464473457202104,10.5772230131943
250.0,sub-0079,ses-03,run-02,pain,TPJ,278,cueH_stimM,-16.6225618436939,-20.0921367550472,-20.360171411873104,-33.8245307630577,-12.833390123366597,-28.8438279889283,-49.5575260823775,-44.0485291080195,-59.1702843836599,-25.8972003916847,-16.4081853469124,-7.01584705994156,-36.929873680412896,-14.158746245929501,-18.545346231830802,-1.30189100811174,-20.1986759099148,-13.3221254871964,-19.331837072193,-10.781832700971,-17.9594915975493,-36.5045802502561,-50.839541183091896,-59.066011581972106,-69.6715353827942,-67.6651941773366,-90.26053732386343,-80.31122375543458,-77.9715200084315,-72.9337217075854,-31.1284871692264,-36.5715675038159,-13.969328465139403,2.02137462470182,22.507741334577798,30.8170111865902,20.0375884051005,27.1504889566788,22.473662277327104,21.159797164702894,18.6311142700845,-8.55710761593468
