bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0057_ses-01_task-social_acq-mb8_run-01_bold	0.000704518	0.019540992	0	37.56572677	1.185941259	1.005314291	0.486815774	4585.344727	0.081116547	0	0	2.627940189	2.492617304	2.848280861	2.542922402	0.00751427	-0.013009317	0.024771476	872	82	82	56	5.509320301	0.460000008	2.682926893	2.682927132	2.699999809	3	29.95210334	41.64888	145.7482147	46.67774963	246976	13.98279762	636.9824982	273.5895691	4.476414139	415.9770813	3228.702637	3269.117432	71638	2191.081287	4063.26239	593.3753052	39.016922
sub-0057_ses-01_task-social_acq-mb8_run-02_bold	0.000471906	0.017979244	1	36.9912643	1.175933842	1.00905672	0.487377388	4606.277832	0.074622022	0	0	2.625263046	2.500530304	2.845354952	2.529903882	0.00594334	-0.013569172	0.023774549	871	82	82	56	5.399261747	0.460000008	2.682926893	2.682927132	2.699999809	0	29.44659749	41.22008514	147.3644104	46.53731155	247004	14.1228466	648.7354279	277.7897339	4.531025655	416.7668762	3223.790039	3265.734131	71740	2154.780505	4072.056067	604.8440552	40.88313293
sub-0057_ses-01_task-social_acq-mb8_run-03_bold	0.001077356	0.022403968	2	37.48317338	1.164898669	1.026401155	0.488213503	4489.458984	0.101688198	0	0	2.635172878	2.500944031	2.860148496	2.544426106	0.0229292	-0.01268685	0.0227264	870	82	82	56	5.467949495	0.460000008	2.682926893	2.682927132	2.699999809	2	26.54599124	41.83494568	147.9584961	47.03505707	247030	14.11609173	655.6935974	274.9233704	4.587794258	409.4979248	3210.951904	3256.2771	71621	2155.468994	4037.206787	595.5165405	36.60906982
sub-0057_ses-01_task-social_acq-mb8_run-04_bold	0.001317954	0.022045327	2	37.59257753	1.177707331	1.019720934	0.487664377	4572.913574	0.100066187	1	0.114942529	2.63248081	2.502323122	2.855504315	2.539614994	0.0197296	-0.012151948	0.022672936	870	82	82	56	5.410409654	0.460000008	2.682926893	2.682927132	2.699999809	3	26.81086608	41.39868927	147.4233551	46.7057457	247064	13.93678188	653.9190338	274.9194946	4.616356696	410.9501343	3214.418213	3262.553955	71621	2143.199951	4044.496582	603.0100098	36.94107437
sub-0057_ses-01_task-social_acq-mb8_run-05_bold	0.001350471	0.018244772	2	37.62554075	1.196245429	1.032894447	0.487748451	4730.899414	0.099252239	0	0	2.627944072	2.495651304	2.85001777	2.538163142	0.00634761	-0.012242597	0.023198515	870	82	82	56	5.46129971	0.460000008	2.682926893	2.682927132	2.699999809	8	27.14383122	41.82983398	149.0737457	46.66896439	247093	13.80459785	661.7822998	277.3665771	4.44622615	411.6436462	3212.191406	3260.158691	71611	2140.009277	4038.911499	596.9523926	40.34635162
sub-0057_ses-01_task-social_acq-mb8_run-06_bold	0.000379644	0.019106246	2	37.88153492	1.189802362	0.999895773	0.487091576	4609.228027	0.0846858	0	0	2.644791919	2.519412667	2.860085132	2.554877958	0.0114667	-0.012141404	0.023119258	870	82	82	56	5.350397078	0.460000008	2.682926893	2.682927132	2.699999809	0	28.63443006	40.93175507	146.7948303	46.55747223	246861	14.08505726	651.6781616	275.630188	4.603656254	414.4930115	3220.242432	3271.470215	71871	2117.056396	4058.43042	611.4401245	39.80050659
sub-0057_ses-03_task-social_acq-mb8_run-01_bold	0.000652813	0.023773249	1	39.10836396	1.179477887	0.991610579	0.483743211	4167.172363	0.100617838	0	0	2.653751167	2.508297717	2.884585006	2.568370779	0.0117771	-0.012319129	0.033737674	871	82	82	56	5.38936743	0.460000008	2.682927132	2.682926655	2.699999571	2	39.27728553	45.08575439	140.0111084	48.93340683	247239	14.18025208	564.3429504	259.7962341	4.352823465	428.7359314	3230.59082	3271.133057	71493	2178.837939	4088.945264	606.9562378	34.7550087
sub-0057_ses-03_task-social_acq-mb8_run-02_bold	0.001848356	0.023758709	2	39.14351107	1.182747586	1.034175567	0.484092643	4154.328613	0.114292196	0	0	2.66153686	2.520392716	2.890887824	2.573330039	0.0123787	-0.011156837	0.033501435	870	82	82	56	5.283040582	0.460000008	2.682927132	2.682926655	2.699999571	1	35.79068286	44.88620377	140.0242615	48.95344543	247214	14.31149387	569.9685547	256.9494934	4.332219198	429.2151489	3222.984863	3269.417236	71522	2118.975134	4089.954041	618.8471069	34.42346191
sub-0057_ses-03_task-social_acq-mb8_run-03_bold	0.000390472	0.01784752	3	38.51579765	1.182928656	0.999876857	0.484272658	3982.320557	0.089462684	0	0	2.62131667	2.497712264	2.836633639	2.529604106	0.00513033	-0.011600918	0.03289102	869	82	82	56	5.346145919	0.460000008	2.682927132	2.682926655	2.699999571	0	35.73391798	44.67597198	141.4706573	49.77560425	247293	15.21634102	580.8133545	259.5776672	4.448021856	421.6689453	3228.936523	3273.967285	71294	2147.114648	4089.822729	612.3933716	40.66517639
sub-0057_ses-03_task-social_acq-mb8_run-04_bold	0.000354816	0.018643087	4	38.64970499	1.181581344	1.000429554	0.485278996	3953.62207	0.095111715	0	0	2.627299123	2.505573081	2.842705367	2.533618921	0.00423029	-0.011959522	0.032129899	868	82	82	56	5.369254566	0.460000008	2.682927132	2.682926655	2.699999571	0	31.56193328	45.15361023	143.9237061	50.08583069	247320	15.36284599	595.9446808	261.7055054	4.493522924	421.4367371	3232.533936	3277.353516	71276	2164.332642	4092.690979	610.3883667	39.84212875
