onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
3.9	0.98	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h017.png
36.19	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l041.png
63.59	0.99	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h053.png
103.48	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l037.png
139.0	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h001.png
190.58	0.99	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l004.png
219.19	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l009.png
252.59	0.99	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h011.png
281.68	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h033.png
312.2	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l029.png
348.79	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png
375.59	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l010.png
5.73	3.69	expectrating	1	high_cue	n/a	37.34	Strong	37.34	Strong	1.4	2.29	h017.png
38.69	3.6	expectrating	2	low_cue	n/a	11.36	Moderate	11.36	Moderate	0.55	3.05	l041.png
66.1	2.17	expectrating	3	high_cue	n/a	46.83	Strong	46.83	Strong	0.53	1.64	h053.png
105.99	1.94	expectrating	4	low_cue	n/a	17.92	Moderate	17.92	Moderate	0.38	1.56	l037.png
142.9	2.2	expectrating	5	high_cue	n/a	14.63	Moderate	14.63	Moderate	0.42	1.78	h001.png
192.98	2.93	expectrating	6	low_cue	n/a	10.14	Moderate	10.14	Moderate	0.52	2.42	l004.png
221.0	2.4	expectrating	7	low_cue	n/a	24.48	Moderate	24.48	Moderate	0.47	1.93	l009.png
254.19	2.64	expectrating	8	high_cue	n/a	64.37	Very Strong	64.37	Very Strong	1.17	1.47	h011.png
283.29	2.18	expectrating	9	high_cue	n/a	43.86	Strong	43.86	Strong	0.57	1.61	h033.png
316.1	1.55	expectrating	10	low_cue	n/a	36.97	Strong	36.97	Strong	0.45	1.1	l029.png
350.49	1.92	expectrating	11	high_cue	n/a	48.42	Strong	48.42	Strong	0.57	1.35	h021.png
379.49	2.67	expectrating	12	low_cue	n/a	68.16	Very Strong	68.16	Very Strong	0.5	2.17	l010.png
19.58	7.01	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jl047t1aiunaff_M.mp4
45.58	7.02	stimulus	2	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t2afaff_M.mp4
77.78	7.01	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aaunaff_L.mp4
118.88	7.01	stimulus	4	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1aiaff_M.mp4
157.49	7.01	stimulus	5	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jk103t1aaaff_H.mp4
203.48	7.01	stimulus	6	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	aa048t2aaunaff_L.mp4
231.38	7.0	stimulus	7	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg066t1aaaff_H.mp4
263.58	7.02	stimulus	8	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	ib109t1afaff_M.mp4
290.18	7.01	stimulus	9	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1afunaff_L.mp4
330.68	7.01	stimulus	10	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t2aaaff_H.mp4
357.18	7.0	stimulus	11	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1aaaff_H.mp4
387.18	7.01	stimulus	12	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t2aeunaff_L.mp4
30.31	3.25	outcomerating	1	high_cue	med_stim	37.51	Strong	37.51	Strong	0.63	2.62	task-vicarious_scale.png
56.3	2.92	outcomerating	2	low_cue	med_stim	0.0		0.0		0.22	2.7	task-vicarious_scale.png
90.9	2.12	outcomerating	3	high_cue	low_stim	14.37	Moderate	14.37	Moderate	0.37	1.75	task-vicarious_scale.png
131.8	2.43	outcomerating	4	low_cue	med_stim	1.61	Barely detectable	1.61	Barely detectable	0.52	1.92	task-vicarious_scale.png
170.29	1.67	outcomerating	5	high_cue	high_stim	64.93	Very Strong	64.93	Very Strong	0.43	1.23	task-vicarious_scale.png
212.09	2.04	outcomerating	6	low_cue	low_stim	2.35	Barely detectable	2.35	Barely detectable	0.45	1.59	task-vicarious_scale.png
243.5	1.76	outcomerating	7	low_cue	high_stim	80.31	Very Strong	80.31	Very Strong	0.37	1.39	task-vicarious_scale.png
273.5	2.23	outcomerating	8	high_cue	med_stim	53.36	Strong	53.36	Strong	0.42	1.82	task-vicarious_scale.png
307.09	3.25	outcomerating	9	high_cue	low_stim	0.7	No sensation	0.7	No sensation	0.7	2.55	task-vicarious_scale.png
341.99	2.75	outcomerating	10	low_cue	high_stim	50.68	Strong	50.68	Strong	0.78	1.97	task-vicarious_scale.png
368.3	3.23	outcomerating	11	high_cue	high_stim	100.9	Strongest sensation of any kind	100.9	Strongest sensation of any kind	0.47	2.77	task-vicarious_scale.png
395.29	3.18	outcomerating	12	low_cue	low_stim	7.01	Weak	7.01	Weak	0.7	2.48	task-vicarious_scale.png
