onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
9.81	0.98	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h025.png
41.51	0.98	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h050.png
67.4	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l047.png
96.8	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h012.png
128.41	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h045.png
171.01	0.98	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l030.png
198.3	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l032.png
234.9	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l033.png
262.2	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h001.png
291.11	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l023.png
336.61	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h023.png
371.61	0.98	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l035.png
12.51	2.32	expectrating	1	high_cue	n/a	84.45	Very Strong	84.45	Very Strong	0.97	1.35	h025.png
43.01	1.33	expectrating	2	high_cue	n/a	101.63	Strongest sensation of any kind	101.63	Strongest sensation of any kind	0.52	0.82	h050.png
69.5	1.94	expectrating	3	low_cue	n/a	90.93	Very Strong	90.93	Very Strong	0.92	1.02	l047.png
100.7	2.03	expectrating	4	high_cue	n/a	90.0	Very Strong	90.0	Very Strong	0.9	1.13	h012.png
132.31	1.42	expectrating	5	high_cue	n/a	82.87	Very Strong	82.87	Very Strong	0.37	1.05	h045.png
174.91	1.17	expectrating	6	low_cue	n/a	83.51	Very Strong	83.51	Very Strong	0.05	1.12	l030.png
199.81	1.41	expectrating	7	low_cue	n/a	85.64	Very Strong	85.64	Very Strong	0.53	0.87	l032.png
