"sub","task","cue_raw_outcome","cue_raw_outcome_sd","cue_z_outcome","cue_z_outcome_sd","cue_raw_expect","cue_raw_expect_sd","cue_z_expect","cue_z_expect_sd","stim_raw_outcome","stim_raw_outcome_sd","stim_z_outcome","stim_z_outcome_sd","stim_raw_expect","stim_raw_expect_sd","stim_z_expect","stim_z_expect_sd","cuestim_raw_outcome","cuestim_raw_outcome_reg","cuestim_z_outcome","cuestim_z_outcome_reg"
"sub-0002","cognitive",4.54088686309249,6.34328196373499,0.121744871290629,0.170068550377657,23.9034958968435,18.7339796410386,0.596396339105326,0.467416018268044,4.48968153024404,10.0404121103979,0.120372014656015,0.269191617615593,-3.34342627610358,20.1072239553335,-0.0834190613683433,0.501678700399442,1.01140511470658,1.00932755981678,1.01140511470658,1.00122535784244
"sub-0003","cognitive",7.63658100469082,17.1033705515612,0.471595966293647,1.05621619900153,30.1550221605597,25.1769669809407,1.26057283172255,1.05247478819165,4.06120178526258,11.0290776367253,0.250798934635531,0.681099109958265,-4.28515910153922,7.40984165314665,-0.179132852705179,0.309754210280089,1.88037467933819,1.70642890189424,1.88037467933819,1.17652479990515
"sub-0004","cognitive",1.62752917725959,7.63271183775559,0.0706932848980371,0.331534131633582,33.7740472733585,25.3428924106811,1.08734345727102,0.815905420752298,0.93299991195258,6.23876520027028,0.0405257426454035,0.270986727535836,-1.03113908767826,9.82403115545535,-0.0331971567235825,0.316281194091217,1.74440442749185,1.35930124001167,1.74440442749185,1.02899259577753
"sub-0005","cognitive",13.1309970193772,41.4425961914698,0.333033757326175,1.05108420195584,41.7856656034863,37.3601231175309,1.25171847782628,1.11914829558624,4.67186092815898,29.8296059701229,0.118489662004654,0.756550758569927,-2.95900496143866,8.83927550433655,-0.0886390376393427,0.264786603721161,2.81065665722882,2.49142163363374,2.81065665722882,1.19181589478171
"sub-0006","cognitive",5.14843872954178,28.9466501403767,0.155673033237694,0.875258125063444,30.5626414406955,19.9890904502722,1.061107398414,0.694003226308431,15.865058511535,28.8580313085564,0.479710823169098,0.872578562758022,7.05832986550694,18.4668849401437,0.245058859040996,0.64115362128204,0.324514323461114,0.364566700159177,0.324514323461114,0.781012759481334
"sub-0007","cognitive",14.076682608773,9.62714259494042,0.634956143938802,0.43425098861167,29.3245618506153,11.5759130881316,1.18693983317858,0.468546211183317,12.5187275732894,11.4509634679403,0.564681552314197,0.516517975865711,-4.46020153289206,9.26108112579021,-0.180530945026981,0.374851162056425,1.12444995119214,1.11524420675226,1.12444995119214,1.04491303135815
"sub-0008","cognitive",2.37029872507291,12.275574865019,0.144649212343901,0.749125929365281,6.12556884171131,10.0997918568688,0.452461949050054,0.746015860182883,13.7493202329998,21.4645386503196,0.839062317728035,1.30988916133279,-1.99103492535553,7.13829504174752,-0.1470667567751,0.527266441851154,0.172393884563394,0.228505359693274,0.172393884563394,0.622409149113551
"sub-0009","cognitive",9.590943940465,7.98658571167168,0.148492626148935,0.12365300992805,38.1808603427431,8.91264058693284,0.607804000237837,0.141880998824834,7.46100001651078,8.15266819373433,0.11551558355738,0.126224396443486,0.42578708311405,11.4015689762223,0.00677813674294294,0.181502437884501,1.28547700298094,1.25173666467295,1.28547700298094,1.02956215321205
"sub-0010","cognitive",9.25613068637934,9.14272658866124,0.43988907143231,0.434499646311591,36.3667770371139,10.1528244489276,1.42574507830675,0.398037458040297,12.3921187882247,10.923481439764,0.58892401280079,0.519128377737441,-7.95912647834161,11.9403481600361,-0.312034398663805,0.468116616577459,0.746936891468047,0.765833312007153,0.746936891468047,0.906203858606318
"sub-0011","cognitive",17.0179974554593,22.7796214338542,0.473147052375044,0.633336017581196,45.6624027478787,19.7595513620058,1.26658803860147,0.548092301262235,11.7767898930107,24.3124617137116,0.327427092341625,0.675953185792346,-6.30371499693721,14.4208871789293,-0.174853041745471,0.400007930106168,1.44504551835124,1.41021317610582,1.44504551835124,1.10977624373808
"sub-0013","cognitive",16.0887475950955,22.0631514047291,0.358246022174573,0.491277284366683,59.3561162720514,12.5921520002506,1.28948256842393,0.273558337759931,14.9899912039407,25.6619095040466,0.333780158430767,0.571410356641496,-2.36202864700278,10.90176833426,-0.0513139160329833,0.236835580137905,1.07329933528353,1.06871525926068,1.07329933528353,1.01834325063929
"sub-0014","cognitive",3.78320429648176,10.7578740903581,0.137810836394335,0.391877231582737,27.9489978611954,16.7531036920597,0.979029780732676,0.586847067493658,9.45847506180257,9.61780336193732,0.344544004798831,0.3503478590404,-0.999463466302749,8.36686070289498,-0.035010360769438,0.293084061190943,0.399980363828413,0.457351981834468,0.399980363828413,0.846242913830531
