"subject","SES","RUN","RUNTYPE","CUE","STIM","EXPECT_RT","EXPECT","OUTCOME_RT","OUTCOME","trial_index_runwise","trial_index_subjectwise"
"2",1,1,"pain","low_cue","low_stim",2.55270791053772,5.52754015165617,3.75158095359802,40.072890052351,2,1
"2",1,1,"pain","low_cue","high_stim",2.03759026527405,18.9432630612515,2.05130314826965,107.271742577681,3,2
"2",1,1,"pain","high_cue","low_stim",2.1016628742218,103.253715626495,3.05189299583435,70.8398268780187,4,3
"2",1,1,"pain","high_cue","med_stim",3.2846953868866,81.2188372656145,2.65374255180359,77.6960764459401,5,4
"2",1,1,"pain","high_cue","high_stim",2.43437433242798,97.1535643183944,3.70793390274048,114.579314115696,6,5
"2",1,1,"pain","high_cue","low_stim",2.77119922637939,117.081215406843,1.93424201011658,76.5756299449677,7,6
"2",1,1,"pain","low_cue","high_stim",2.10826301574707,75.6299984848207,2.1518030166626,84.9305798673875,8,7
"2",1,1,"pain","high_cue","high_stim",2.0175940990448,101.580619182228,3.72070217132568,105.094062825037,9,8
"2",1,1,"pain","high_cue","med_stim",1.59066104888916,105.086354008465,3.06810021400452,96.9183864066937,11,9
"2",1,1,"pain","low_cue","low_stim",1.9096040725708,87.921629754638,2.16904973983765,81.4464572974282,12,10
"2",1,5,"pain","low_cue","med_stim",2.85493230819702,40.9259839041171,2.46775078773499,107.560272051801,1,11
"2",1,5,"pain","high_cue","low_stim",2.72743773460388,113.682087724538,2.3031120300293,91.3803540734445,2,12
"2",1,5,"pain","low_cue","high_stim",2.38441300392151,74.6011802522866,2.39073848724365,94.8207660780926,3,13
"2",1,5,"pain","high_cue","med_stim",2.6047682762146,116.97650392107,2.58445715904236,107.630080218819,4,14
"2",1,5,"pain","low_cue","med_stim",1.49141979217529,112.190288896123,2.38442468643188,113.985903676795,5,15
"2",1,5,"pain","high_cue","high_stim",2.00208926200867,151.16903168761,2.37325763702393,137.145524354897,7,16
"2",1,5,"pain","low_cue","low_stim",2.3702449798584,136.938501769387,3.45151519775391,108.289158350003,8,17
"2",1,5,"pain","low_cue","low_stim",2.13434863090515,111.350980247654,2.51774144172668,95.7794858251559,9,18
"2",1,5,"pain","high_cue","low_stim",2.71798491477966,104.036243467926,2.25283408164978,108.070012487191,10,19
"2",1,5,"pain","high_cue","med_stim",2.21770644187927,123.244937240301,2.95585322380066,140.370994695536,11,20
"2",1,5,"pain","high_cue","high_stim",2.26846790313721,137.109089737258,2.76793098449707,153.226979574691,12,21
"2",3,2,"pain","low_cue","low_stim",3.89230990409851,38.1182763693631,2.68532729148865,54.0578881286177,1,22
"2",3,2,"pain","low_cue","med_stim",2.11763739585876,25.523424501068,3.02604722976685,7.1250163489018,2,23
"2",3,2,"pain","low_cue","low_stim",3.1731219291687,60.2842324096543,2.90122032165527,41.0995062576181,3,24
"2",3,2,"pain","low_cue","high_stim",2.61780881881714,37.1066557177511,2.05506610870361,55.0269268177854,4,25
"2",3,2,"pain","high_cue","med_stim",1.96784019470215,113.892502308027,2.73459219932556,60.026051339764,5,26
"2",3,2,"pain","high_cue","med_stim",2.32358360290527,111.370622269343,2.86788439750671,70.2362636469036,7,27
"2",3,2,"pain","high_cue","low_stim",3.0681619644165,98.0651411807292,2.9065113067627,13.8113347918617,8,28
"2",3,2,"pain","high_cue","low_stim",2.85238885879517,88.806510576018,3.20130610466003,49.7500548331404,9,29
"2",3,2,"pain","low_cue","med_stim",2.50798988342285,31.3969122485905,2.35107898712158,54.0065394724413,11,30
"2",3,2,"pain","low_cue","high_stim",3.26808595657349,4.59221201091977,3.11801862716675,32.4184499496431,12,31
"2",4,3,"pain","high_cue","med_stim",1.7907030582428,120.570247750244,3.36826157569885,112.833654177918,1,32
"2",4,3,"pain","low_cue","low_stim",3.2680926322937,84.9993554024416,3.10566759109497,71.9601882195855,2,33
"2",4,3,"pain","low_cue","low_stim",3.46876430511475,36.3158864239452,2.24170517921448,38.6963722437105,3,34
"2",4,3,"pain","high_cue","low_stim",3.71821141242981,58.5150226234111,2.34083318710327,54.0245406262227,4,35
"2",4,3,"pain","low_cue","high_stim",2.80358123779297,19.5582515369974,3.36813926696777,50.1345274350345,5,36
"2",4,3,"pain","low_cue","med_stim",3.72526574134827,24.2702732593095,1.91748189926147,25.4234385529055,6,37
"2",4,4,"pain","high_cue","high_stim",1.98919773101807,110.640469195095,3.93491768836975,98.130102354156,1,38
"2",4,4,"pain","low_cue","high_stim",1.88584160804749,46.3720916494606,3.56814527511597,38.948267891206,2,39
"2",4,4,"pain","high_cue","high_stim",2.8895583152771,101.084891292242,2.78458166122437,83.4270050135266,3,40
"2",4,4,"pain","low_cue","low_stim",2.35110259056091,56.5674398615991,3.76927018165588,32.7068268793835,4,41
"2",4,4,"pain","high_cue","low_stim",3.16800212860107,88.1066141542537,2.98462319374084,27.5972958686437,5,42
"2",4,4,"pain","high_cue","med_stim",3.75389909744263,89.0248468569075,2.88467645645142,44.8367646025811,7,43
"6",1,2,"pain","low_cue","med_stim",1.8198082447052,30.5702477502442,1.68425512313843,117.859650695242,1,1
"6",1,2,"pain","low_cue","low_stim",2.36773324012756,75.8523946129983,1.91759467124939,66.4368601352252,2,2
"6",1,2,"pain","low_cue","high_stim",2.01753568649292,80.7823557900613,2.35343241691589,135,3,3
"6",1,2,"pain","high_cue","low_stim",2.13435626029968,102.425942865427,2.31775879859924,49.0972836052083,4,4
"6",1,2,"pain","high_cue","med_stim",1.50376582145691,90.2387310330989,2.61031746864319,84.7831109681655,5,5
