"","src_subject_id","param_cue_type","param_stimulus_type","subjectwise_RT","zscore_RT","accuracy","count","zscore_acc","tradeoff","condition","con_num"
"1",100,"high_cue","high_stim",3.46108496189117,0.0977098999197668,8,10,0,-0.0977098999197668,"high_cue_high_stim",1
"2",100,"high_cue","low_stim",3.69735798835754,0.987911252843999,10,10,1.11803398874989,0.130122735905896,"high_cue_low_stim",2
"3",100,"high_cue","med_stim",3.51804790496826,0.312328088682787,6,10,-1.11803398874989,-1.43036207743268,"high_cue_med_stim",3
"4",100,"low_cue","high_stim",3.63057332568698,0.736287959431864,8,9,0,-0.736287959431864,"low_cue_high_stim",4
"5",100,"low_cue","low_stim",3.34851999282837,-0.326398976367245,10,10,1.11803398874989,1.44443296511714,"low_cue_low_stim",5
"6",100,"low_cue","med_stim",2.95532340473599,-1.80783822451117,6,9,-1.11803398874989,0.689804235761277,"low_cue_med_stim",6
"7",101,"high_cue","high_stim",3.22344814647328,-1.21115244475559,10,11,1.18661113133642,2.39776357609201,"high_cue_high_stim",1
"8",101,"high_cue","low_stim",3.49313753843307,0.686795471553127,8,12,-0.847579379526013,-1.53437485107914,"high_cue_low_stim",2
"9",101,"high_cue","med_stim",3.6087827465751,1.50065240611492,9,11,0.169515875905202,-1.33113653020972,"high_cue_med_stim",3
"10",101,"low_cue","high_stim",3.41698082288106,0.15084009509396,8,12,-0.847579379526013,-0.998419474619973,"low_cue_high_stim",4
"11",101,"low_cue","low_stim",3.27635914087296,-0.838789591174536,10,12,1.18661113133642,2.02540072251095,"low_cue_low_stim",5
"12",101,"low_cue","med_stim",3.35457457195629,-0.288345936831883,8,11,-0.847579379526013,-0.559233442694131,"low_cue_med_stim",6
"13",102,"high_cue","high_stim",3.68891273845326,0.931838531871168,9,11,-0.38069349381344,-1.31253202568461,"high_cue_high_stim",1
"14",102,"high_cue","low_stim",3.38681501150131,-0.129652404223888,12,12,1.33242722834704,1.46207963257093,"high_cue_low_stim",2
"15",102,"high_cue","med_stim",3.53231249252955,0.381586984746108,10,12,0.190346746906721,-0.191240237839388,"high_cue_med_stim",3
"16",102,"low_cue","high_stim",3.73936903476715,1.1091285159651,7,10,-1.52277397525376,-2.63190249121886,"low_cue_high_stim",4
"17",102,"low_cue","low_stim",3.03057332833608,-1.38139077893629,11,12,0.761386987626881,2.14277776656317,"low_cue_low_stim",5
"18",102,"low_cue","med_stim",3.16430000825362,-0.911510849422191,9,11,-0.38069349381344,0.530817355608751,"low_cue_med_stim",6
"19",103,"high_cue","high_stim",3.68779623508453,-0.457093516699083,6,8,1.08821437516502,1.5453078918641,"high_cue_high_stim",1
"20",103,"high_cue","low_stim",3.6198689142863,-0.77694631043627,3,9,-1.08821437516502,-0.311268064728747,"high_cue_low_stim",2
"21",103,"high_cue","med_stim",3.97410127520561,0.891045433396816,6,8,1.08821437516502,0.197168941768201,"high_cue_med_stim",3
"22",103,"low_cue","high_stim",3.66939571925572,-0.543736951548114,4,7,-0.362738125055006,0.180998826493108,"low_cue_high_stim",4
"23",103,"low_cue","low_stim",3.63206202983856,-0.719531973643319,5,10,0.362738125055006,1.08227009869833,"low_cue_low_stim",5
"24",103,"low_cue","med_stim",4.12599250674248,1.60626331892997,3,8,-1.08821437516502,-2.69447769409499,"low_cue_med_stim",6
"25",104,"high_cue","high_stim",3.45629542524164,0.206291384784794,9,11,1.63299316185545,1.42670177707066,"high_cue_high_stim",1
"26",104,"high_cue","low_stim",3.52588200569153,0.526627662272439,7,10,-0.816496580927726,-1.34312424320017,"high_cue_low_stim",2
"27",104,"high_cue","med_stim",3.20095198154449,-0.969161809006342,7,10,-0.816496580927726,0.152665228078615,"high_cue_med_stim",3
"28",104,"low_cue","high_stim",3.6893572807312,1.27917306296491,8,11,0.408248290463863,-0.870924772501052,"low_cue_high_stim",4
"29",104,"low_cue","low_stim",3.10631002320184,-1.40483852186712,8,9,0.408248290463863,1.81308681233098,"low_cue_low_stim",5
"30",104,"low_cue","med_stim",3.49010003696788,0.36190822085131,7,11,-0.816496580927726,-1.17840480177904,"low_cue_med_stim",6
"31",105,"high_cue","high_stim",3.69612455368042,0.754101632805385,9,11,0.997965409896352,0.243863777090967,"high_cue_high_stim",1
"32",105,"high_cue","low_stim",3.29257597923279,-0.222243642810957,8,10,0.142566487128051,0.364810129939008,"high_cue_low_stim",2
"33",105,"high_cue","med_stim",3.67582499980927,0.704988899483629,6,8,-1.56823135840855,-2.27322025789218,"high_cue_med_stim",3
"34",105,"low_cue","high_stim",3.71672002474467,0.803930308077493,8,9,0.142566487128051,-0.661363820949442,"low_cue_high_stim",4
"35",105,"low_cue","low_stim",2.6484133667416,-1.78073043537442,9,9,0.997965409896352,2.77869584527077,"low_cue_low_stim",5
