event01_cue_onset	event02_expect_displayonset	event03_stimulus_displayonset	event04_actual_displayonset	param_cue_type	param_stimulus_type	event02_expect_RT	event02_expect_angle	event04_actual_RT	event04_actual_angle	cue_con	stim_lin	stim_quad
7.884350061416626	10.101840019226074	20.789160013198853	32.99371004104614	high_cue	low_stim	2.16775918006897	13.629411930096985	3.43535375595093	-1.2209274898847902	1	-1	1
37.59543013572693	39.99633002281189	47.38241004943848	57.48618006706238	low_cue	med_stim	2.5344545841217	-7.131626259211412	3.72621130943298	-4.091793130262687	-1	0	-2
66.68961000442505	68.89043021202087	81.89528012275696	90.39845991134644	high_cue	low_stim	1.67179894447327	3.331172319969781	3.90172982215881	-0.9152673635273878	1	-1	1
95.48369002342224	98.98499011993408	107.58820009231567	120.79312014579773	low_cue	med_stim	2.89419651031494	-21.998990955254513	3.98599767684937	-15.287945133672686	-1	0	-2
125.89503002166748	127.59565997123718	134.1981201171875	147.38637018203735	high_cue	high_stim	4.0	0.0	1.9426240921020501	0.8043567736592081	1	1	1
151.98809003829956	155.48940014839172	169.69468998908997	181.89924001693726	low_cue	low_stim	3.50631737709045	-19.572730045679414	3.48489022254944	-13.742115995032385	-1	-1	1
187.48465991020203	189.68548011779785	203.890780210495	217.19573998451233	low_cue	high_stim	2.41018629074097	10.198925714024888	4.0	0.0	-1	1	1
223.38138008117676	225.59887027740479	232.18465995788574	245.48963022232056	low_cue	low_stim	3.06794905662537	-19.121682951385214	2.8228995800018297	-14.047092156040186	-1	-1	1
259.2947702407837	262.7960801124573	271.39929008483887	281.48638010025024	high_cue	high_stim	2.3844096660614	23.32980387404279	2.95933866500854	4.3796453295729165	1	1	1
291.690190076828	294.0910801887512	301.69392013549805	310.1970901489258	low_cue	high_stim	2.67133450508118	-19.121682951385214	3.13469672203064	33.08083422690731	-1	1	1
328.68732023239136	331.088210105896	346.79407024383545	359.79892015457153	high_cue	med_stim	2.4574563503265403	23.773089261327883	1.98429894447327	-19.15038061150039	1	0	-2
369.5859000682831	371.58665013313293	384.591500043869	394.79530000686646	high_cue	med_stim	3.34237504005432	12.684310063453388	3.2680313587188703	30.190685549781115	1	0	-2
