"subj","rand_intercept","rand_cue","rand_stimulus_linear","rand_stimulus_quad","rand_int_cue_stimlin","rand_int_cue_stimquad","fix_intercept","fix_cue","fix_stimulus_linear","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_stimquad","task"
"16",-26.7249629210844,6.39572026822862,-2.2988731815072,-2.47953635845846,-1.52266877000446,-3.16171441178835,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"68",-23.3713087274223,6.00350991913652,-1.79329545454708,-2.11854709598301,-1.17774681999817,-2.58338290425516,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"82",-20.693931894816,5.52501387366146,-1.65499754256965,-1.81268954007015,-0.904460695915678,-2.29114694673468,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"84",-19.7973577226748,6.26771299767448,-2.1144894619413,-1.40970733453329,-0.14387132146438,-2.31669513455618,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"14",-16.3297070993741,4.60027433992549,-1.33768547392162,-1.80430316905163,-0.58906773075199,-1.55198386583185,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"19",-16.1814491444126,1.13910613939581,-1.9735715773184,-1.34627204152268,-2.20866720997035,-3.01738508014783,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"29",-15.8101542760087,6.05581260104319,-2.1155588185847,-1.54579461227811,0.577005881618931,-1.50954722578842,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"85",-15.1665112103057,5.0980747810663,-1.87986982264413,-1.22271792301085,0.129706980877137,-1.72517359723718,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"9",-14.8252962274236,1.50341742517128,-0.988636561168931,-1.93462440627935,-2.07302111785614,-1.90662946758616,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"69",-14.6355255071756,5.44884839719472,-1.74864772809805,-1.64228553089146,0.370938331575438,-1.23813519187518,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
