mean_PainL_Subj_N1,mean_PainL_Subj_N2,mean_PainL_Subj_N3,mean_PainH_Subj_N1,mean_PainH_Subj_N2,mean_PainH_Subj_N3
48.3835473479939,49.0365064576368,49.6364615802011,48.3741423227619,49.0390443492342,49.7300280369308
48.3179883588469,48.9234555022144,49.6521476479608,48.3071694457192,49.0759031405729,49.7355536487884
48.2608871251129,48.9015104999376,49.668013738447,48.3268410092658,49.0519033533376,49.7247129583466
48.3496569116367,49.0320813014183,49.6564120556723,48.3478721390846,49.0896464207234,49.684908064002
48.322603109919,49.0301808908298,49.6745775755077,48.3470685494819,49.0734639426966,49.7138937355387
48.3107932953602,48.9845299575535,49.6877090592999,48.3209270691854,49.0593218111378,49.695361554315
48.2882553953005,48.9457778225859,49.6581888478287,48.3387303592118,48.9811357398522,49.677876557221
48.2768288963209,48.9921746906432,49.6867637486341,48.3413679815735,49.0376213379116,49.706942146575
48.2698667417096,48.920755584753,49.6452538217129,48.3625623368235,49.0831644927548,49.7148230462544
48.2167975048576,48.8863398654369,49.6835386636457,48.3273066107766,49.0983060224294,49.7253732335281
48.2609627529954,48.9040794072258,49.6589567355273,48.3456895031989,49.0951544569512,49.7161698682011
48.2371139969404,48.8085212160792,49.5681553488562,48.4358941738178,49.1918574625595,49.816660324546
48,48.6570104626735,49.5716699660851,48.4283300339149,49.3429895373265,50
48.1151392995643,48.7336055046225,49.6037784022422,48.3951296633842,49.2630034943626,49.8656073091848
48.3753267140484,49.0269526667101,49.642802555866,48.3556347870695,48.9841378974979,49.6120773115075
48.2609888530622,48.9191769768222,49.6867262698534,48.2755182198388,48.9986195868732,49.7028117305165
48.3032128295591,48.9372530194769,49.6427670052388,48.3540885847856,49.0903082529495,49.6595333926976
48.3468774334107,48.9278390191418,49.6141780728029,48.3838294083726,49.1058042505069,49.6695583379953
48.2290945474115,48.8357142142366,49.6418822175935,48.3620382071243,49.1522451112549,49.7622305818416
48.35440992371,48.9752671488888,49.6467144348674,48.3771712882125,49.0958058947888,49.6966967932286
48.3093705989608,48.9467621951405,49.60402371334,48.4112506449362,49.1011779364249,49.6935292358942
48.355831820333,49.01585267644,49.6165102357572,48.3709278835916,49.0843852823007,49.6677118763007
48.1160000090222,48.839170907297,49.6586356830068,48.3365722559926,49.1406608889928,49.7463227305369
48.2884261589691,48.98823509464,49.6827234058068,48.3191582176351,49.0139067578838,49.6744267460888
48.2975562497991,48.9210117500136,49.678992976814,48.2993171133789,49.0179171357124,49.7036453838092
48,48.6681877721682,49.6043677771172,48.3956322228828,49.3318122278318,50
48.2320404358501,48.8305188316132,49.5834975838761,48.435912515229,49.2219139306025,49.7890636394942
48.3071441795638,48.9667434434184,49.6150595367776,48.391906071699,49.0670954244792,49.672229863033
48.2953108346183,48.9046383070715,49.613306977016,48.3374129654931,49.1204405331947,49.6651534935131
