subj_num_new_pain,alpha_c,alpha_i,weight_exp,pain_err,exp_err
6,0.975553728189008,0.0933297946456379,0.0471387937864093,31.0203578718602,25.7262628083093
7,0.999973439319769,0.0799612994750976,0.0377159167995098,10.3008077823435,15.1243909694268
9,0.875168281717553,0.373500821996773,0.5624685245099,18.1290740223581,21.2874819803106
10,0.525516066705861,3.0851677230841e-08,0.184030846039336,14.4352994176841,16.4111315920555
11,1.79247641198114e-05,0.0651570096916395,0.124343468050179,18.1533852963155,21.4559648399963
16,0.999976887729518,0.0509409460491724,0.114741714599739,21.2804670359697,20.1780445179972
18,7.41945101433725e-07,1.07831537071175e-07,0.0487394456713763,18.9627592578853,12.8830648189979
23,0.0726868658326053,2.40447414647629e-07,0.153685955130632,21.61824218633,20.5458899477604
29,0.999992833692564,0.0788444300938534,0.0531476866015833,5.44799243965149,6.35598941828092
31,0.0818637258866441,0.131847362871543,0.0849682963767912,18.204635531006,29.6019698163607
33,0.999991027023487,0.066881935979405,0.0881443027837648,11.0597985289898,13.4172310964503
34,0.99999964542851,0.173799851352209,2.83759710678102e-07,26.9069331591832,28.9465395192481
36,0.499994122102558,0.0157727833300209,0.196864756172577,14.4827976478253,15.383947233206
37,0.052708479325036,0.0342960664307326,0.080120543168298,17.0603570710227,24.2305041153677
38,0.999762185400381,0.0337796289837054,0.19372987897441,20.9361686316334,15.7251821360376
39,0.659935838849521,0.354188917681572,7.37452321507238e-07,9.88185144376047,10.5227957664832
43,0.186474784183987,1.39086649378173e-07,1.16579035232677e-06,27.5705141932845,35.7579246026857
44,0.45512219268692,0.0927846727078241,0.237619924746206,18.3087616921514,23.679377802757
46,0.999999536939564,0.360056572044953,0.0846067074941811,24.3792185433208,26.5475304879838
50,0.500215831657736,0.0243070967853954,0.107577785582404,30.5999567127561,36.5648493406362
51,0.999915251367553,0.0318227352665499,0.140251915640841,25.5244092159023,19.6567058215605
52,0.999999210321827,0.212637376084546,0.07609185089195,10.1226619925078,15.8886441565302
53,0.948951366748898,0.0248548031643842,0.427808889285611,14.9701208811521,13.7036269363003
55,0.961235243365456,0.0735721651709579,0.104724650281264,11.3503262291694,16.0920150485676
57,0.999984235342371,0.0198585364081761,0.28457685705629,18.9016644642819,18.1365029464897
58,0.0022257340082419,0.00858487486450826,0.106351014489095,23.4569475830118,24.7596806348418
60,0.985372798848199,0.0349749799576271,0.0450182119637244,6.55449147425656,11.865849257197
61,0.500028811407119,0.0523316535755362,0.276428805251784,22.5458174639705,20.274711826996
62,0.499895986074384,0.0139707258126447,0.146764462891979,17.8203990518492,20.071495949823
65,1.49139722340706e-07,3.64331226253323e-07,0.181503047661402,28.9824804491105,49.5075249136923
73,0.999971440532635,0.737709579137347,0.846181900436537,20.413619558136,19.3348711087171
74,8.74700681594293e-08,3.97522274176481e-08,7.49120395365479e-06,15.5454216255095,16.831087872173
78,0.999952653790392,0.0662104250659946,0.0968822014453814,14.8408955294302,13.0704113514109
80,0.217519227841664,0.0379711420088374,2.42839448247007e-07,24.8362026109915,32.6482838404098
81,0.999992599482387,0.110627416153395,0.0425596894314129,15.6070062973884,16.7929563347547
86,0.999998208050824,1.29684325752607e-05,0.496357647532248,16.1135065249908,19.4940999624872
87,0.957923961105503,2.3844921645381e-07,0.260724953124277,17.4305414101386,15.3303840049582
88,0.517686201316609,0.245185581581473,0.000187832047545078,30.8765632986608,28.2697677337317
89,0.195988684993876,2.25752879388333e-06,0.0755829109843615,10.7238671426849,13.5023768898584
90,0.00293302352964267,0.00855932190968073,0.172256799933616,21.7716333216443,18.283879360779
91,0.223222329699189,0.000250128368618412,0.000502180304815272,10.4284838760587,19.6823405254111
92,3.71027815643929e-05,0.117312318708351,0.431604626598428,24.1280918310407,22.2697758329903
93,0.504771449532251,0.0497975555190698,0.055650108103075,16.6926735896731,21.5946046287921
94,0.0102570632850791,3.18786479747104e-09,1.3973995796399e-05,20.5829619385516,17.7553038918143
95,7.84781616371708e-07,0.0342820970731889,0.107826165907649,14.4971938475622,16.6932697213575
99,0.594615165419427,0.0202814977323123,0.108562508289792,16.4585894221418,17.1703804386766
100,0.115014867977532,0.138054479927995,0.00916322696506533,12.4206584398874,14.4136631373237
101,0.940207132376586,1.90331941415043e-06,0.109086396115694,21.7116651498841,17.2748687136239
105,0.999992816779032,0.342352019853694,7.92034607474459e-06,15.3970855255694,15.3085591278871
