subj_num_new_cognitive,alpha_c,alpha_i,weight_exp,pain_err,exp_err
6,0.255097047418501,0.0558110164578523,0.0876336605867993,29.7637970897227,19.3450280437126
7,0.995743008574863,0.0563102420834986,0.306300084683779,14.3874199141043,15.3776668626708
8,0.358342365696505,0.202235647847888,0.292706302771567,13.31681521052,9.8303510784596
9,0.984083563716321,0.028324715161612,0.192978478184811,10.8099448361332,7.97307300220385
10,0.769602210006852,3.60074527718119e-09,0.217680428856363,10.0420975488507,11.0676183415234
11,0.496260340462275,0.0397629755637308,0.417563145778995,20.7288244524266,18.4319797483673
14,0.905652263121949,2.22751227338619e-07,0.152336731739569,9.8096655264703,15.3054428863262
16,0.999957263469434,0.472459102353986,0.711033702920521,5.7965250654073,11.4608956675915
17,0.999978263454494,0.0224593089574151,0.181334313014312,19.3449680925001,30.4928220104074
18,0.472717563251529,0.104526608703296,0.247421212828203,14.2741566376833,10.3065355307209
19,0.498250334784544,0.0746045704179506,0.389068945170125,6.63141702817827,7.69921322943456
23,0.33794981021646,0.00200042573139922,0.129030432288995,26.8176146176102,11.9029970807731
24,0.999931983201855,0.0238852028171984,0.0549761566702749,13.7824450991583,10.4582131582722
29,0.499747900705957,0.0221007917556625,0.0135207028493583,6.89008020953109,7.73975535838599
31,0.999969428953023,0.0766953641221819,0.393650738801498,21.2411558216022,19.8883152348854
33,0.999999419791163,4.68292178438986e-08,0.305343643880442,18.2814312459761,19.0411976692476
34,0.999482807769847,0.0524822200465484,0.202859766647337,30.6260903298059,33.3666832905203
35,0.999978212115737,0.0522256283039119,1.00098181442712e-05,21.5900566507567,15.5915425190682
36,0.999947319020061,1.00090172259641e-06,0.512693669666623,12.1179290243552,31.6805646981976
37,0.999989838857077,2.06241224580233e-08,0.0917353332731623,20.5180032538822,11.1847931667219
38,0.999916727919594,0.0352394389238622,0.222815130084186,13.8944838830465,14.2785718288019
39,0.907240218700723,0.0947070030744076,0.136387836300174,16.539078614697,10.6498907852417
40,0.999979152087094,0.087975074317969,0.222121537460975,20.4695549065042,24.7409815937933
41,0.49995528956763,0.00919808513650895,0.432439048767859,14.5298858473386,8.81172735935819
43,0.693314865203515,0.0524011240853922,0.255553672457555,20.8668123221904,21.4600548635741
44,0.512668908630749,1.51024525967151e-08,0.257056673989632,10.9176858684618,28.1580691338461
46,0.49599312071378,0.033012480692881,0.296795041875539,30.9994060865139,24.4159458187132
50,0.999992810597,0.0831798425886333,0.211695077957865,18.9795592219873,22.4926210517365
51,0.958839337716914,0.0178441859730447,0.256103350620891,20.4158582536631,15.7288683620103
52,0.500262000982827,0.00899026680412277,0.205417059429576,14.9994773220862,11.7190849961597
53,0.339868143667741,5.46539452011489e-09,0.405574058621625,9.23081130809265,13.4153900908528
55,0.500113043098034,0.0111048540676445,0.112930187224875,17.1665357924846,12.1429085675699
57,0.482635326675789,1.63035730614818e-07,0.533917535845379,20.1781057658515,26.6261313874718
58,0.999998739662383,0.536520110063443,7.26391595177013e-07,23.8867921222198,16.232033925295
59,0.999991769322743,6.22453354314157e-06,1.27893689042038e-05,10.0787287329764,8.6180194460866
60,0.498440464749518,0.0243328590211304,1.10371557318347e-05,12.9107504296805,11.3899386885887
61,0.499130172732016,0.0502951446538721,0.261017306924526,25.7062499644336,17.9149191244068
62,0.135658256312296,7.30077181554085e-09,0.200626291780334,21.9245852032258,14.7029632407802
64,0.733913801894102,3.82763982622486e-09,0.464511442494344,19.5918627668823,17.4287598199303
65,0.0611046526106439,0.0108649924754105,0.0518136505602074,13.9377249831177,14.114606638203
66,0.999957599035331,0.253422501549288,0.3030043188296,17.6786872952925,13.9109885767179
69,0.999966125248917,0.0125640546108049,0.0603658635741936,6.1263789839361,11.9541252578304
70,0.999980710384193,0.0748407813796233,0.408556189006472,9.25995865408445,10.7373173761933
73,0.99876465452137,0.698227844506212,0.847781719504539,10.8852816559615,8.55753270190433
75,0.493704579655588,0.0647456099337269,0.299451321729294,13.7482311082681,16.6107616499855
76,0.999939045771028,0.0016647482239481,0.0298881290551617,15.8268177439007,17.6174631795289
78,0.999983573105801,0.15241133430523,0.372693118609499,17.4740518283972,16.439490575704
81,0.499459153799192,0.00619536036791338,0.15188784680246,13.0052345114972,13.0786680009503
87,0.999992394721812,0.265719802803227,0.0178448336976968,23.3518838916604,18.6115997046258
88,0.999985167250747,0.0328447993310091,0.446002661419717,24.7463322095126,20.6582575321672
89,0.573167589265263,0.137739003063474,0.558665290906761,15.9945121525686,13.378692679729
90,0.999976757745123,0.0279902182435215,0.0442755397276332,14.2710494579969,11.4506107195999
91,0.913054465457258,3.41234544738591e-07,0.438510223167842,19.1952217872651,15.7716161870119
92,0.497083704420759,0.0601272031855886,0.488336422237397,25.3591615710777,23.7398635331573
93,0.99996670214224,0.11404587995046,0.0817428143647885,18.5497449083401,21.4356842062841
94,0.984470173348474,0.0700816997734032,0.126622764351561,21.4277727582455,16.6125462577133
95,0.999995331624178,0.254861306668207,0.314943168313488,11.3983062700749,10.5805608625632
99,0.999999349970437,8.89018557371369e-08,0.389422713990993,17.849446814986,26.0598425526672
100,0.999988287197397,0.391556525312965,0.750871252200779,12.1691937409097,12.8265965757169
101,0.501757702801454,0.0254500113898322,0.216871780050838,23.6547592741553,17.3909099314914
105,0.999984974913241,0.0409622641083235,0.181962499193719,15.5715799724086,12.7485542845002
106,0.999975089740726,0.023741766373257,0.129208524169176,27.6245230367561,29.1683299941009
107,0.475665202682698,1.04331577515906e-07,0.0519707440207769,11.142713284874,16.5080628915341
109,0.575902931665109,9.01146573584425e-08,0.28279166371799,12.9780596578328,11.2603326042023
111,0.500000776856073,0.0216493822767816,0.261243203481139,15.9791827086978,12.6925415534924
115,0.462512684616253,8.46826746339631e-08,0.171141269619961,10.6924697154942,10.9816927861247
116,0.499781800360359,0.00186856083634949,0.127915006984962,17.0439097566554,9.48230781260995
122,0.999991001044435,2.56206689872602e-07,0.181152447668697,12.5516438044531,11.1615831757093
124,0.501587762592423,0.00106671124476996,0.223108483579681,32.7354221454349,21.1195154629265
126,0.00391245418198111,0.0284864252007373,0.173358363664734,16.1905307572049,13.9971082686939
127,0.336762289894565,0.22023356109349,0.378278221325087,11.993451170566,9.79143770755391
128,0.566144705125494,0.0562656210228167,0.341937575790885,18.1727713926506,9.30296760425546
130,0.499973658007359,0.021737683871564,0.130361174654887,15.794059475718,10.6222118728864
131,0.0646589705053502,0.0347779879871797,2.78202771310355e-05,35.7910176256829,19.1113617843252
132,0.585364841385223,1.45582532610807e-08,0.412543221629238,19.8762115897886,16.9301375742653
133,0.711664595479092,0.0281874737814942,0.0533795043265855,6.50120832118231,10.7412005927659
