src_subject_id,session_id,param_run_num,param_task_name,param_cue_type,param_stimulus_type,event02_expect_RT,event02_expect_angle,event04_actual_RT,event04_actual_angle,trial_index_runwise,trial_index_subjectwise,nll_mdl1,nll_mdl2,nll_mdl3,nll_mdl4,PE_mdl1,PE_mdl2,PE_mdl3,PE_mdl4,Pain_mdl1,Pain_mdl2,Pain_mdl3,Pain_mdl4,Exp_mdl1,Exp_mdl2,Exp_mdl3,Exp_mdl4
44,1,2,pain,high_cue,low_stim,2.91800928115845,59.1150546692714,2.33947134017944,77.2466997454243,6,5,8.05495419452427,8.07105635100111,8.06940013920839,8.081059649457,17.689358933665,4.55865721873423,23.2658420395701,7.49383843767693,73.2245670270923,77.1176855366947,78.5385356092766,78.5385356092766,55.5352080934273,72.5590283179604,55.2726935697065,71.0446971715997
44,1,2,pain,high_cue,high_stim,2.55771017074585,53.5469600073442,3.58484029769897,121.855132382449,7,6,9.38982346712447,9.37115905664588,8.63622715591255,8.87246024484517,33.3365405518159,20.5032314067906,43.6587415360445,28.0533146437792,91.5130307307752,95.1370057938494,101.527487998298,101.527487998298,58.1764901789593,74.6337743870588,57.8687464622536,73.4741733545189
44,1,2,pain,low_cue,med_stim,1.78413152694702,1.84019525639278,2.90337800979614,90,8,7,9.65423323137146,9.55853904243057,9.43913672027287,9.29170165276577,31.4785843073813,35.0295799915484,41.2960654527172,46.231352794416,77.1291196504154,75.6673585611429,86.5854379177053,86.5854379177053,45.650535343034,40.6377785695945,45.2893724649881,40.3540851232893
44,1,2,pain,high_cue,med_stim,2.11767649650574,63.5396941898012,3.27410268783569,84.0150476848846,9,8,8.03389195986679,8.28754957864349,8.06594156923433,8.2840126336335,18.0184743202784,1.99757904504233,23.8451548028411,4.01647818023758,81.1726014889848,85.962829067127,86.5854379177053,86.5854379177053,63.1541271687064,83.9652500220847,62.7402831148642,82.5689597374677
44,1,2,pain,low_cue,low_stim,2.352290391922,23.4887748729864,1.95088744163513,63.6399417926469,10,9,8.64741888213317,8.34719044644278,8.86552021980579,8.61377962763169,21.676160554054,26.416888097083,28.6412589907657,35.0270058994461,72.0269126274277,70.3048747812858,78.5385356092766,78.5385356092766,50.3507520733737,43.8879866842028,49.8972766185109,43.5115297098304
44,1,4,pain,high_cue,low_stim,2.92028665542603,54.6496501050374,1.95091152191162,96.9250817383927,1,10,8.78025471706655,9.14953976332018,8.60340418223762,9.17720393160044,9.76156381296866,-4.83033111194919,13.1375586328335,-5.33255229111522,75.6061148466235,80.0440614651806,78.5385356092766,78.5385356092766,65.8445510336548,84.8743925771298,65.4009769764431,83.8710879003918
44,1,4,pain,low_cue,low_stim,1.90850210189819,1.39152665254782,3.91828989982605,45.1623105559367,2,11,11.1134753355136,10.6984936912787,11.518261180982,11.246863055219,19.1872660880212,24.5482317765218,25.4454054677036,32.6347802024877,72.7745885068346,70.8873007767717,78.5385356092766,78.5385356092766,53.5873224188134,46.3390690002499,53.093130141573,45.9037554067889
44,1,4,pain,low_cue,high_stim,2.43756818771362,1.38591785081219,2.30101943016052,126.404088563079,3,12,12.045661901425,11.9909593610391,11.0585513826188,10.7503362061542,34.6624554007169,40.3380781975805,45.5951045705507,53.3948877956081,91.114719527066,88.9548468487707,101.527487998298,101.527487998298,56.4522641263491,48.6167686511903,55.9323834277475,48.13260020269
44,1,4,pain,high_cue,med_stim,2.06760001182556,69.3045492659367,3.60219717025757,100.181320006514,4,13,8.50343846238117,8.41068829885647,8.31404811426881,8.38510386653099,14.8287220113489,1.64615090466557,19.7185437811711,3.07854525163644,82.1308184384042,86.0723627905027,86.5854379177053,86.5854379177053,67.3020964270553,84.4262118858372,66.8668941365342,83.5068926660689
44,1,4,pain,high_cue,high_stim,1.85719633102417,74.1179493242497,2.83453035354614,65.0803356301676,6,14,9.2771021779389,9.60036669263494,9.89536809755817,9.86851329312097,24.6163689996103,12.4664971626168,32.4603561685456,17.0225417407232,94.1326122449187,97.641908857679,101.527487998298,101.527487998298,69.5162432453084,85.1754116950621,69.0671318297525,84.504946257575
44,1,4,pain,low_cue,low_stim,2.31765389442444,20.7722546820458,3.98866987228394,73.9600566939503,7,15,9.23051209993683,8.80360428625125,9.25789732390488,8.83862903799459,13.004147381343,19.9583568145126,17.518551960353,26.7592456770232,74.6320271325314,72.317880848928,78.5385356092766,78.5385356092766,61.6278797511884,52.3595240344154,61.0199836489235,51.7792899322534
44,1,4,pain,low_cue,med_stim,2.13530135154724,38.8035865708957,2.63458657264709,66.6204760472234,8,16,8.78097332265882,8.34620180690199,9.02565419922809,8.69359294354555,17.6989864931003,24.6813568084922,23.6106964133574,32.9785822687713,81.2685771703185,78.8927104477281,86.5854379177053,86.5854379177053,63.5695906772182,54.2113536392359,62.9747415043479,53.606855648934
44,1,4,pain,low_cue,high_stim,2.58491373062134,5.5721978039638,3.01794815063477,62.3056084068584,9,17,12.1004972967435,11.4362846883455,12.7741519780228,12.3170850354732,27.1570647200091,34.326988351975,35.9182140057343,45.6683070384571,93.3693750193234,90.8283936046719,101.527487998298,101.527487998298,66.2123102993144,56.5014052526969,65.6092739925638,55.859180959841
44,1,4,pain,high_cue,med_stim,2.36991810798645,3.00066141346215,2.50102758407593,36.3648998459456,10,18,14.8497279669229,18.7068886496964,15.0287436510819,18.1675927523804,10.2995680366623,-3.25060056258083,13.8963094552439,-3.43815677028024,83.4913980962434,87.5985906562567,86.5854379177053,86.5854379177053,73.1918300595811,90.8491912188376,72.6891284624614,90.0235946879855
44,3,3,pain,high_cue,low_stim,2.60574817657471,90.920334966849,2.88492155075073,94.8596144309724,1,19,8.64624375863288,8.1805213973537,8.62291684987036,8.31793820754729,2.92895577784586,-9.15546021420927,4.29882693159411,-11.2502446329739,77.6586631932978,81.3921250953254,78.5385356092766,78.5385356092766,74.7297074154519,90.5475853095346,74.2397086776825,89.7887802422505
44,3,3,pain,low_cue,med_stim,2.89442896842957,40.6012946450045,2.87130880355835,59.1150546692714,2,20,9.4839513427219,8.8973950414473,9.70010570865329,9.28733126342692,12.5485366542558,20.507272535404,16.9683320484305,27.6072664866944,82.815797096737,80.1936961673842,86.5854379177053,86.5854379177053,70.2672604424812,59.6864236319802,69.6171058692748,58.9781714310109
