src_subject_id,session_id,param_run_num,param_task_name,param_cue_type,param_stimulus_type,event02_expect_RT,event02_expect_angle,event04_actual_RT,event04_actual_angle,trial_index_runwise,trial_index_subjectwise,nll_mdl1,nll_mdl2,nll_mdl3,nll_mdl4,PE_mdl1,PE_mdl2,PE_mdl3,PE_mdl4,Pain_mdl1,Pain_mdl2,Pain_mdl3,Pain_mdl4,Exp_mdl1,Exp_mdl2,Exp_mdl3,Exp_mdl4
6,1,1,vicarious,low_cue,med_stim,2.63769102096558,28.8309683123904,2.68483829498291,30.0581254794867,1,1,7.49626117925575,7.47973824816406,7.509308837057,7.49411511409848,-6.1044465545948,-6.04788553797531,-6.64246760995884,-6.64246760995884,22.7265217577956,22.7830827744151,22.1885007024316,22.1885007024316,28.8309683123904,28.8309683123904,28.8309683123904,28.8309683123904
6,1,1,vicarious,low_cue,low_stim,3.96838307380676,21.9783843042672,2.22003889083862,11.3099324740202,2,2,7.57992731478447,7.55835789268029,7.56463814364274,7.54206961882519,-11.6768731323695,-11.2632219023944,-12.706025762751,-12.3782376613613,17.1540945166107,17.2322567259322,16.1249424796745,16.1249424796745,28.8309676489802,28.4954786283266,28.8309682424255,28.5031801410358
6,1,1,vicarious,low_cue,high_stim,3.58524799346924,11.853004167744,1.82291793823242,2.98863245522946,3,3,9.28946813157858,9.2083821800184,9.30538168655248,9.23481482081946,2.34790114092387,3.20047318395843,2.55483385565789,3.49345504452117,31.1788675209018,31.071155801539,31.3858019642511,31.3858019642511,28.830966379978,27.8706826175806,28.8309681085932,27.8923469197299
6,1,1,vicarious,high_cue,med_stim,1.98919677734375,34.6654973333062,2.85122013092041,13.9247732204094,5,4,7.54419388595781,7.53185959468141,7.51873584915012,7.50354201505542,-11.4663952566124,-11.3601528697106,-12.4769966308746,-12.4769966308746,23.1991020766938,23.3053444635956,22.1885007024316,22.1885007024316,34.6654973333062,34.6654973333062,34.6654973333062,34.6654973333062
6,1,1,vicarious,high_cue,high_stim,1.90085530281067,44.6707175361533,2.9360249042511,19.7637363530964,6,5,7.86679869007804,7.85993558049708,7.85816979754548,7.85039498683371,-3.01404819179085,-2.98612217110949,-3.27969523763522,-3.27969526688645,31.6514478953871,31.6793747669349,31.3858019642511,31.3858019642511,34.6654960871779,34.6654969380444,34.6654972018863,34.6654972311375
6,1,1,vicarious,high_cue,low_stim,3.15127778053284,52.0420391737294,2.30433893203735,6.92508173839268,7,6,8.31177404776016,8.32389624068646,8.26814403989323,8.27533138373935,-17.0388209978424,-16.8809480347845,-18.5405546876669,-18.5405547246071,17.6266747617792,17.7845487993616,16.1249424796745,16.1249424796745,34.6654957596216,34.6654968341461,34.6654971673414,34.6654972042816
6,1,1,vicarious,low_cue,high_stim,3.53493046760559,11.5806191822281,2.78452277183533,3.75172907052598,8,7,9.24880205080609,9.16733490628527,9.26437885538184,9.19323786764955,2.34790090642946,3.20047308256985,2.55483382874788,3.49345501591479,31.1788675415692,31.0711558115068,31.3858019642511,31.3858019642511,28.8309666351398,27.8706827289369,28.8309681355032,27.8923469483363
6,1,1,vicarious,high_cue,high_stim,1.9560215473175,5.0694201326125,3.36810207366943,42.227157522404,9,8,9.68640507676248,9.73503860896296,9.69543698768852,9.74517002122556,-3.01404618902949,-2.98612154173569,-3.27969500780307,-3.27969508820998,31.6514477188719,31.6793747050596,31.3858019642511,31.3858019642511,34.6654939079014,34.6654962467953,34.6654969720542,34.6654970524611
6,1,1,vicarious,low_cue,med_stim,2.81797695159912,22.9565823245116,3.0349748134613,25.4336837463955,10,9,7.51016866041216,7.47199264371629,7.51597840739989,7.47822254798702,-6.1044452476911,-5.17355735753875,-6.64246745998164,-5.7038462745111,22.7265216426104,22.6971254827545,22.1885007024316,22.1885007024316,28.8309668903015,27.8706828402933,28.8309681624132,27.8923469769427
6,1,1,vicarious,high_cue,med_stim,1.31726574897766,40.4519575908746,2.07236742973328,5.29856506989994,11,10,7.97290769512858,7.96588325847195,7.92085867775208,7.90814296887048,-11.4663918076306,-11.3601517858576,-12.4769962350776,-12.4769963231735,23.1991017727146,23.3053443570394,22.1885007024316,22.1885007024316,34.6654935803452,34.6654961428971,34.6654969375092,34.6654970256051
6,1,1,vicarious,low_cue,low_stim,2.50125813484192,38.9824969671543,2.5677752494812,2.07837024536197,12,11,8.00160011670543,8.06039948358807,7.95752377695164,8.01498124512031,-11.676871825466,-10.433053227468,-12.7060256127738,-11.4859348010958,17.1540944014255,17.1506408607287,16.1249424796745,16.1249424796745,28.8309662268915,27.5836940881966,28.8309680924483,27.6108772807703
6,1,5,vicarious,low_cue,med_stim,1.08773326873779,41.8477645703347,2.05087876319885,6.69637761619969,1,12,8.20515222413144,8.32335458121304,8.18026360988325,8.30070318229691,-6.10444347179886,-4.38531763069066,-6.64246725618444,-4.85557613822739,22.7265214860905,22.6196317525795,22.1885007024316,22.1885007024316,28.8309649578894,27.0049493832702,28.830967958616,27.044076840659
6,1,5,vicarious,low_cue,low_stim,1.06724715232849,20.0630726660882,2.88537073135376,13.1870599078291,2,13,7.62442174765685,7.53465839935852,7.61491408016505,7.52760658144453,-11.6768700495739,-9.6846249551056,-12.7060254089766,-10.6795245477824,17.1540942449056,17.0770610897297,16.1249424796745,16.1249424796745,28.8309642944795,26.7616860448353,28.8309678886511,26.8044670274569
