onset01_cue	onset02_ratingexpect	onset03_stim	onset04_ratingoutcome	pmod_cuetype	pmod_stimtype	pmod_expectRT	pmod_expectangle	pmod_outcomeRT	pmod_outcomeangle	cue_con	stim_lin	stim_quad	pmod_expectangle_demean	pmod_outcomeangle_demean	TTL1	TTL2	TTL3	TTL4	onset03_stim_earlyphase_0-4500ms	onset03_stim_latephase_4500-9000ms	onset03_stim_poststim_9000-135000ms	onset03_stim_ttlplateau	onset03_stim_ttlplateau_duration
8.100539922714233	10.00125002861023	21.353709936141968	39.595619916915894	high_cue	low_stim	2.96833109855652	174.680106082193	3.81843185424805	120.570247750244	1	-1	1	174.680106082193	120.570247750244	20.91225	24.24175	29.2435	32.21975	20.91225	25.41225	29.91225	24.24175	5.001750000000001
52.400399923324585	55.00136995315552	67.055419921875	83.89546990394592	low_cue	med_stim	2.5347306728363	170.991496257975	3.86847829818726	133.863971960312	-1	0	-2	170.991496257975	133.863971960312	66.62475	70.199	75.2005	78.40275	66.62475	71.12475	75.62475	70.199	5.001500000000007
93.19894003868103	96.10002994537354	103.6256799697876	116.39092993736267	high_cue	high_stim	3.33499574661255	163.23479749179	3.76869964599609	149.826479970356	1	1	1	163.23479749179	149.826479970356	103.20625	107.0355	112.036	115.39	103.20625	107.70625	112.20625	107.0355	5.000500000000002
123.3935399055481	126.69476985931396	132.72712993621826	143.0008499622345	low_cue	high_stim	2.7182035446167	175.314100160497	3.86851406097412	157.435888306675	-1	1	1	175.314100160497	157.435888306675	132.30375	136.042	141.04225	144.37625	132.30375	136.80375	141.30375	136.042	5.000249999999994
151.30394983291626	153.1046199798584	165.13119983673096	177.69711995124817	high_cue	low_stim	2.35135912895203	174.548448901287	4.0		1	-1	1	174.548448901287	0.0	164.69925	167.9535	172.9535	175.9515	164.69925	169.19925	173.69925	167.9535	5.0
188.38443994522095	190.50189995765686	196.51862001419067	207.49156999588013	high_cue	med_stim	1.96788907051086	175.370765052202	3.96879148483276	120.843807413145	1	0	-2	175.370765052202	120.843807413145	196.09575	199.6165	204.615	207.7885	196.09575	200.59575	205.09575	199.6165	4.998500000000007
218.1955599784851	220.2963399887085	228.22968983650208	239.20338988304138	low_cue	high_stim	2.20135617256165	174.629005304464	3.4683895111084	142.347170179116	-1	1	1	174.629005304464	142.347170179116	227.81275	231.55625	236.5565	239.9255	227.81275	232.31275	236.81275	231.55625	5.000249999999994
246.1893298625946	248.690269947052	255.70747995376587	268.2975800037384	high_cue	med_stim	1.95113062858582	174.930579867388	4.0		1	0	-2	174.930579867388	0.0	255.29325	258.8375	263.839	267.052	255.29325	259.79325	264.29325	258.8375	5.001500000000021
277.5843698978424	280.7021999359131	290.5264799594879	305.1946699619293	low_cue	low_stim	2.65125226974487	156.620476047223	4.0		-1	-1	1	156.620476047223	0.0	290.09975	293.4405	298.4405	301.4535	290.09975	294.59975	299.09975	293.4405	5.0
309.69634985923767	311.99721002578735	318.03117990493774	330.7875499725342	low_cue	low_stim	1.88454437255859	175.179233921907	3.43578124046326	114.676863170337	-1	-1	1	175.179233921907	114.676863170337	317.60625	320.927	325.92725	328.95975	317.60625	322.10625	326.60625	320.927	5.000249999999994
339.19068002700806	342.29183983802795	352.6395699977875	366.90101981163025	high_cue	high_stim	2.1179780960083	126.777186109425	3.0516529083252	153.012109418251	1	1	1	126.777186109425	153.012109418251	352.21275	355.967	360.9685	364.3155	352.21275	356.71275	361.21275	355.967	5.001500000000021
371.6861298084259	374.0036599636078	380.04243993759155	394.79474997520447	low_cue	med_stim	2.81816530227661	133.817069414804	2.70148062705994	130.654568250771	-1	0	-2	133.817069414804	130.654568250771	379.61425	383.14325	388.1435	391.32625	379.61425	384.11425	388.61425	383.14325	5.000249999999994
