,sub,ses,run,runtype,ROI,ROIindex,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
17,sub-0021,ses-01,run-01,pain,rINS,226,cueL_stimH,1.06893751693028,1.08005363711396,0.933727470606755,0.5260346916902849,1.1564041406488201,1.01128323598661,-0.0571171270114519,1.02586315643725,1.01703074717685,1.80506458783407,0.471734968475374,1.29036764452704,1.6326176601858202,0.8219994400341329,-0.644276302822391,-1.99154385365904,1.23655626579656,-0.6873114489961271,-0.9962340244187758,0.8141619633056291,1.24866693997559,3.4711347228330602,4.54464224446554,3.86927256371161,3.6557526738641397,4.64748549486131,5.948114806440571,5.969130058469349,5.160633850000179,4.5559770871422804,4.46525013381768,4.5532181055806396,3.30492934268324,5.03060204296858,3.4242951614127004,2.2623688962532498,1.81183678108621,2.08255794543219,2.06807569823578,2.1113190536523203,1.7405597573514802,0.199568255633608
18,sub-0021,ses-01,run-01,pain,rINS,226,cueH_stimM,0.6006191435181171,0.0726808736358464,1.41835353839575,1.5773261089281598,2.09364536317958,2.29772153958966,2.40447380034698,0.809738656686861,1.55818319965589,0.14018941570933,0.603930224089694,0.264932255554697,0.085047906239808,-0.6992523519520619,-0.408318521637419,-0.23362666830043102,1.03097776075477,0.45896868173664296,1.38288806592747,1.67328929967767,-1.1970425586970401,0.7028122234214461,0.45377630168973604,2.43079309561388,2.72742336021434,3.41912091372477,2.9680456451146604,5.44950185443879,2.7889609665321404,2.66276107096479,4.39527848922439,4.12015362606608,2.4996387749693,3.6420443758530294,4.373079075935951,3.45777967256655,4.45455357817772,2.8436130631096397,2.6556429866823796,1.48285185622356,1.49967007560318,1.48712670651526
19,sub-0021,ses-01,run-01,pain,rINS,226,cueL_stimM,1.76433712192824,2.8020634823942703,1.7399906841185,1.80922568537105,1.6644450489333502,0.9227639225926652,0.8227559827524541,0.0713157540710654,-1.37914458381942,-1.8716631514573703,-1.5953190889930502,0.267942044175626,-0.511901135743315,0.44027343714438394,-0.851443292180164,1.12872095972781,-2.04266731762422,-1.8941944617590099,-2.39039267330008,-0.39257551986563,1.0512340478933,-2.1423796801399,-2.19718791989013,-0.548816862170412,0.6538008833200589,0.9886177852112891,2.1516629904314,1.80517840722312,1.4836941846166398,0.697327829968174,2.031230998689,1.32525260680953,0.5174687852404821,-0.0933537554214574,1.18200097298291,-1.8775971122756898,0.168690531955647,-0.916693692261489,0.15393084876947,-1.27805065449547,0.027848088664192996,-1.49872789676405
20,sub-0021,ses-01,run-01,pain,rINS,226,cueH_stimL,0.6785140403674029,0.0596112861545066,-0.675643298410449,0.621787862238463,-1.0031440234534,-1.23085493970235,-0.357443436865701,-0.384906899426866,1.4257762243721002,1.00895525760583,2.14345785091193,2.8964711652978,1.5082994880555298,1.4410337228035501,1.8643295662608899,0.7261134340740941,1.35267038491122,0.8985319699221179,1.54041384455354,0.7131528680293399,1.37365912535878,-0.328305336015092,0.8913483528077959,0.67059067428761,0.8089033632886921,1.75828772260593,-0.277666694536549,0.50203119181208,0.20474097445617198,-0.678419207129309,-0.173498941708147,1.24736385338912,1.2268354236741699,0.11458301617602698,0.826954561848225,-0.3671062499283271,-0.0270467189255754,-2.17498219014742,-0.429470829344424,-2.3087466074775698,-1.49877695156052,-0.160258784200465
21,sub-0021,ses-01,run-01,pain,rINS,226,cueL_stimL,0.459380087060175,0.25406144035033396,0.40377025814647993,-0.390415191116606,0.371492189054415,-0.29767856084200894,1.6179755719478401,0.36317802018705,0.919148563524502,-1.07313038018583,0.846656108966783,0.11393915311824498,1.08397444536779,0.035931674259686006,-0.0885626549615566,-0.45105022799307204,-0.336805499412641,0.690225412347104,-2.2500655345614198,-1.30504811914678,-1.2211766794538799,0.308743827378333,2.34647724849119,0.9138357561257209,3.5044173960123097,2.83088399885821,4.93902202468072,5.994571435519901,4.10897346412966,4.2499887035455695,4.2622235726765,4.835420352975089,5.420177466396099,4.60431484810249,2.37305219682568,3.0835260033129503,3.02215036240605,2.97707160665891,2.4403729732384503,2.92443301176004,2.14349194561558,4.115090224838069
22,sub-0021,ses-01,run-01,pain,rINS,226,rating,-1.84390244564105,-2.3021167308607997,-1.93455739785063,-2.25402733015629,-2.32837245204067,-2.3008075055990402,-2.1587273180882702,-2.6507531592442004,-2.25152963448514,-2.29456722707192,-2.63948724307684,-2.2903945418659104,-2.3212753355529103,-2.0424058571904298,-1.90227645394349,-1.78990984104375,-2.16453121811087,-2.01771569989943,-1.80208427970798,-1.71871162550069,-1.8418968343503899,-1.72949881203711,-1.51189784698408,-1.23009499626781,-1.1436603705679298,-1.28118567644039,-1.1226452524108799,-1.14749982049524,-1.19066823566929,-1.11202534626597,-1.11406973197284,-0.8636112195079659,-1.26296856059273,-0.84765228312067,-1.4829250230440398,-0.42611527222775103,-1.29932691879945,-0.3621882196359821,-0.7370996102539559,-0.5127797950097239,-0.21281202622759196,-0.33592909788618996
23,sub-0021,ses-01,run-01,pain,rINS,226,cue,-0.5023571687014721,0.343936771643072,-0.173109041323862,-0.16824950209194597,0.55430097162386,1.2296465948901398,1.1175868416859198,1.1697066104822198,1.84078641578853,1.22351843985935,1.8094411719434398,0.8490033333324051,1.5768998063459199,1.6280868991292599,1.62230689057142,1.79498246850056,2.3640242501512403,2.82269440482068,2.3208973665237798,2.709253762408,2.28571326361519,2.52463099432219,1.91734075592493,1.8216476311375502,1.4442772344861101,0.8102662779644308,1.0738096837858,0.8637529531077209,1.19789141461273,0.17964041099762101,0.5350316329734429,0.124235709543129,0.3624011805790421,-0.600265686499029,-0.699955127439054,-0.829517414530471,-1.0526775893462699,-1.58922492572614,-1.19427896250707,0.612951727807165,0.5030704251402229,1.077004803668
24,sub-0021,ses-01,run-02,cognitive,rINS,216,cueH_stimH,1.84106011311549,2.5424274670032596,1.91922161096555,2.8210593731142497,2.4986779655378197,1.25823872151777,0.618340396176414,1.10719360142772,0.7866123827462271,1.1305202730557902,0.5694458489179229,0.338789317963219,1.0458628513749901,0.991227305853641,-0.20594947480373102,-0.35238612514145,1.50471194959128,2.6330355768115203,2.11332728233243,2.62927114481941,1.3069249192963401,1.02102042180739,1.51131413110151,1.19150015159244,2.52846140225394,1.99076665499015,2.38706669266779,1.2670483045986,1.66975258114437,0.0322526125858218,0.332692744735596,0.743358773640054,7.125083654102579e-05,0.188458475801077,-0.193025857389323,1.00826076646511,-0.11471211465351401,0.561128903285294,-0.947866018045232,-0.9318428809015341,-0.156081454965395,0.7823600141887971
25,sub-0021,ses-01,run-02,cognitive,rINS,216,cueL_stimH,0.20957274805204001,0.928868241267111,0.0298056110555649,0.250599406139287,0.0629933426654361,-0.45181630796838596,-0.7727760398478409,-0.09249810003456099,-0.626089819059246,0.8931660952278121,0.450071716119794,0.392273961933668,0.553575452218539,-0.251516016800224,0.344814170887915,0.7427107857216841,0.512177289832735,0.827616144603979,1.4435503470094198,1.2699025391190901,2.14446881263218,1.4793579906679601,0.601336394966694,0.39803542638795597,0.459691004634784,0.38111714310349504,-0.20294088998791396,-0.546484370015499,-0.334533927121811,0.42186031546413705,-1.12851773659573,-0.7535861985040809,-0.5078283681567439,-1.35153298632528,0.0489932695331987,0.511877267637956,0.27878474473617104,-0.0644038863500072,-0.44261014904987,-0.0277246740623411,0.783801513399283,1.2353061864581
26,sub-0021,ses-01,run-02,cognitive,rINS,216,cueH_stimM,-0.602785244427245,-0.9544255009866591,-0.172435993195634,-0.654243744222647,-1.66591467727031,-1.4643805498696798,-2.07498606200079,-1.23965561544321,-0.444328910755193,-0.329430309993953,-0.39910614297515706,-0.933850935109437,-0.350267196638285,-1.10241452175276,-0.075784131974217,0.317803533090533,0.671359884329476,0.45443918687206497,0.20963457721761397,1.4189663174980802,0.20896006605449496,0.9310808327930291,-0.0912368564481625,0.618523003920146,0.171347389014315,-0.488075925039794,1.0164909050925,-0.30737384785354,0.46362478220277104,-0.11738664198549001,0.0552708899712542,-0.507252682957073,-0.10583260448697,-0.614294342454997,0.219608751265952,1.16399930609897,0.688658052958374,-1.19415695559067,-1.07534625064415,-0.8395696894682491,-0.16009965887059302,-1.11215174725092
